entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
02013,AK,Aleutians East Borough,county_equivalent,2025,not_researched,,,
02016,AK,Aleutians West Census Area,county_equivalent,2025,not_researched,,,
02020,AK,Anchorage Municipality,county_equivalent,2025,not_researched,,,
02050,AK,Bethel Census Area,county_equivalent,2025,not_researched,,,
02060,AK,Bristol Bay Borough,county_equivalent,2025,not_researched,,,
02063,AK,Chugach Census Area,county_equivalent,2025,not_researched,,,
02066,AK,Copper River Census Area,county_equivalent,2025,not_researched,,,
02068,AK,Denali Borough,county_equivalent,2025,not_researched,,,
02070,AK,Dillingham Census Area,county_equivalent,2025,not_researched,,,
02090,AK,Fairbanks North Star Borough,county_equivalent,2025,not_researched,,,
02100,AK,Haines Borough,county_equivalent,2025,not_researched,,,
02105,AK,Hoonah-Angoon Census Area,county_equivalent,2025,not_researched,,,
02110,AK,Juneau City and Borough,county_equivalent,2025,candidate_found,ak.juneau_borough.bids,2026-07-15,Juneau City and Borough
02122,AK,Kenai Peninsula Borough,county_equivalent,2025,not_researched,,,
02130,AK,Ketchikan Gateway Borough,county_equivalent,2025,not_researched,,,
02150,AK,Kodiak Island Borough,county_equivalent,2025,not_researched,,,
02158,AK,Kusilvak Census Area,county_equivalent,2025,not_researched,,,
02164,AK,Lake and Peninsula Borough,county_equivalent,2025,not_researched,,,
02170,AK,Matanuska-Susitna Borough,county_equivalent,2025,not_researched,,,
02180,AK,Nome Census Area,county_equivalent,2025,not_researched,,,
02185,AK,North Slope Borough,county_equivalent,2025,not_researched,,,
02188,AK,Northwest Arctic Borough,county_equivalent,2025,not_researched,,,
02195,AK,Petersburg Borough,county_equivalent,2025,not_researched,,,
02198,AK,Prince of Wales-Hyder Census Area,county_equivalent,2025,not_researched,,,
02220,AK,Sitka City and Borough,county_equivalent,2025,not_researched,,,
02230,AK,Skagway Municipality,county_equivalent,2025,not_researched,,,
02240,AK,Southeast Fairbanks Census Area,county_equivalent,2025,not_researched,,,
02275,AK,Wrangell City and Borough,county_equivalent,2025,not_researched,,,
02282,AK,Yakutat City and Borough,county_equivalent,2025,not_researched,,,
02290,AK,Yukon-Koyukuk Census Area,county_equivalent,2025,not_researched,,,
