entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
28001,MS,Adams County,county_equivalent,2025,not_researched,,,
28003,MS,Alcorn County,county_equivalent,2025,not_researched,,,
28005,MS,Amite County,county_equivalent,2025,not_researched,,,
28007,MS,Attala County,county_equivalent,2025,not_researched,,,
28009,MS,Benton County,county_equivalent,2025,not_researched,,,
28011,MS,Bolivar County,county_equivalent,2025,not_researched,,,
28013,MS,Calhoun County,county_equivalent,2025,not_researched,,,
28015,MS,Carroll County,county_equivalent,2025,not_researched,,,
28017,MS,Chickasaw County,county_equivalent,2025,not_researched,,,
28019,MS,Choctaw County,county_equivalent,2025,not_researched,,,
28021,MS,Claiborne County,county_equivalent,2025,not_researched,,,
28023,MS,Clarke County,county_equivalent,2025,not_researched,,,
28025,MS,Clay County,county_equivalent,2025,not_researched,,,
28027,MS,Coahoma County,county_equivalent,2025,not_researched,,,
28029,MS,Copiah County,county_equivalent,2025,not_researched,,,
28031,MS,Covington County,county_equivalent,2025,not_researched,,,
28033,MS,DeSoto County,county_equivalent,2025,not_researched,,,
28035,MS,Forrest County,county_equivalent,2025,not_researched,,,
28037,MS,Franklin County,county_equivalent,2025,not_researched,,,
28039,MS,George County,county_equivalent,2025,not_researched,,,
28041,MS,Greene County,county_equivalent,2025,not_researched,,,
28043,MS,Grenada County,county_equivalent,2025,not_researched,,,
28045,MS,Hancock County,county_equivalent,2025,not_researched,,,
28047,MS,Harrison County,county_equivalent,2025,not_researched,,,
28049,MS,Hinds County,county_equivalent,2025,candidate_found,ms.hinds_county.purchasing,2026-07-15,Hinds County
28051,MS,Holmes County,county_equivalent,2025,not_researched,,,
28053,MS,Humphreys County,county_equivalent,2025,not_researched,,,
28055,MS,Issaquena County,county_equivalent,2025,not_researched,,,
28057,MS,Itawamba County,county_equivalent,2025,not_researched,,,
28059,MS,Jackson County,county_equivalent,2025,not_researched,,,
28061,MS,Jasper County,county_equivalent,2025,not_researched,,,
28063,MS,Jefferson County,county_equivalent,2025,not_researched,,,
28065,MS,Jefferson Davis County,county_equivalent,2025,not_researched,,,
28067,MS,Jones County,county_equivalent,2025,not_researched,,,
28069,MS,Kemper County,county_equivalent,2025,not_researched,,,
28071,MS,Lafayette County,county_equivalent,2025,not_researched,,,
28073,MS,Lamar County,county_equivalent,2025,not_researched,,,
28075,MS,Lauderdale County,county_equivalent,2025,not_researched,,,
28077,MS,Lawrence County,county_equivalent,2025,not_researched,,,
28079,MS,Leake County,county_equivalent,2025,not_researched,,,
28081,MS,Lee County,county_equivalent,2025,not_researched,,,
28083,MS,Leflore County,county_equivalent,2025,not_researched,,,
28085,MS,Lincoln County,county_equivalent,2025,not_researched,,,
28087,MS,Lowndes County,county_equivalent,2025,not_researched,,,
28089,MS,Madison County,county_equivalent,2025,not_researched,,,
28091,MS,Marion County,county_equivalent,2025,not_researched,,,
28093,MS,Marshall County,county_equivalent,2025,not_researched,,,
28095,MS,Monroe County,county_equivalent,2025,not_researched,,,
28097,MS,Montgomery County,county_equivalent,2025,not_researched,,,
28099,MS,Neshoba County,county_equivalent,2025,not_researched,,,
28101,MS,Newton County,county_equivalent,2025,not_researched,,,
28103,MS,Noxubee County,county_equivalent,2025,not_researched,,,
28105,MS,Oktibbeha County,county_equivalent,2025,not_researched,,,
28107,MS,Panola County,county_equivalent,2025,not_researched,,,
28109,MS,Pearl River County,county_equivalent,2025,not_researched,,,
28111,MS,Perry County,county_equivalent,2025,not_researched,,,
28113,MS,Pike County,county_equivalent,2025,not_researched,,,
28115,MS,Pontotoc County,county_equivalent,2025,not_researched,,,
28117,MS,Prentiss County,county_equivalent,2025,not_researched,,,
28119,MS,Quitman County,county_equivalent,2025,not_researched,,,
28121,MS,Rankin County,county_equivalent,2025,not_researched,,,
28123,MS,Scott County,county_equivalent,2025,not_researched,,,
28125,MS,Sharkey County,county_equivalent,2025,not_researched,,,
28127,MS,Simpson County,county_equivalent,2025,not_researched,,,
28129,MS,Smith County,county_equivalent,2025,not_researched,,,
28131,MS,Stone County,county_equivalent,2025,not_researched,,,
28133,MS,Sunflower County,county_equivalent,2025,not_researched,,,
28135,MS,Tallahatchie County,county_equivalent,2025,not_researched,,,
28137,MS,Tate County,county_equivalent,2025,not_researched,,,
28139,MS,Tippah County,county_equivalent,2025,not_researched,,,
28141,MS,Tishomingo County,county_equivalent,2025,not_researched,,,
28143,MS,Tunica County,county_equivalent,2025,not_researched,,,
28145,MS,Union County,county_equivalent,2025,not_researched,,,
28147,MS,Walthall County,county_equivalent,2025,not_researched,,,
28149,MS,Warren County,county_equivalent,2025,not_researched,,,
28151,MS,Washington County,county_equivalent,2025,not_researched,,,
28153,MS,Wayne County,county_equivalent,2025,not_researched,,,
28155,MS,Webster County,county_equivalent,2025,not_researched,,,
28157,MS,Wilkinson County,county_equivalent,2025,not_researched,,,
28159,MS,Winston County,county_equivalent,2025,not_researched,,,
28161,MS,Yalobusha County,county_equivalent,2025,not_researched,,,
28163,MS,Yazoo County,county_equivalent,2025,not_researched,,,
