entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
30001,MT,Beaverhead County,county_equivalent,2025,not_researched,,,
30003,MT,Big Horn County,county_equivalent,2025,not_researched,,,
30005,MT,Blaine County,county_equivalent,2025,not_researched,,,
30007,MT,Broadwater County,county_equivalent,2025,not_researched,,,
30009,MT,Carbon County,county_equivalent,2025,not_researched,,,
30011,MT,Carter County,county_equivalent,2025,not_researched,,,
30013,MT,Cascade County,county_equivalent,2025,not_researched,,,
30015,MT,Chouteau County,county_equivalent,2025,not_researched,,,
30017,MT,Custer County,county_equivalent,2025,not_researched,,,
30019,MT,Daniels County,county_equivalent,2025,not_researched,,,
30021,MT,Dawson County,county_equivalent,2025,not_researched,,,
30023,MT,Deer Lodge County,county_equivalent,2025,not_researched,,,
30025,MT,Fallon County,county_equivalent,2025,not_researched,,,
30027,MT,Fergus County,county_equivalent,2025,not_researched,,,
30029,MT,Flathead County,county_equivalent,2025,not_researched,,,
30031,MT,Gallatin County,county_equivalent,2025,not_researched,,,
30033,MT,Garfield County,county_equivalent,2025,not_researched,,,
30035,MT,Glacier County,county_equivalent,2025,not_researched,,,
30037,MT,Golden Valley County,county_equivalent,2025,not_researched,,,
30039,MT,Granite County,county_equivalent,2025,not_researched,,,
30041,MT,Hill County,county_equivalent,2025,not_researched,,,
30043,MT,Jefferson County,county_equivalent,2025,not_researched,,,
30045,MT,Judith Basin County,county_equivalent,2025,not_researched,,,
30047,MT,Lake County,county_equivalent,2025,not_researched,,,
30049,MT,Lewis and Clark County,county_equivalent,2025,candidate_found,mt.lewis_clark_county.awards,2026-07-15,Lewis and Clark County
30051,MT,Liberty County,county_equivalent,2025,not_researched,,,
30053,MT,Lincoln County,county_equivalent,2025,not_researched,,,
30055,MT,McCone County,county_equivalent,2025,not_researched,,,
30057,MT,Madison County,county_equivalent,2025,not_researched,,,
30059,MT,Meagher County,county_equivalent,2025,not_researched,,,
30061,MT,Mineral County,county_equivalent,2025,not_researched,,,
30063,MT,Missoula County,county_equivalent,2025,candidate_found,mt.missoula_county.bids,2026-07-15,Missoula County
30065,MT,Musselshell County,county_equivalent,2025,not_researched,,,
30067,MT,Park County,county_equivalent,2025,not_researched,,,
30069,MT,Petroleum County,county_equivalent,2025,not_researched,,,
30071,MT,Phillips County,county_equivalent,2025,not_researched,,,
30073,MT,Pondera County,county_equivalent,2025,not_researched,,,
30075,MT,Powder River County,county_equivalent,2025,not_researched,,,
30077,MT,Powell County,county_equivalent,2025,not_researched,,,
30079,MT,Prairie County,county_equivalent,2025,not_researched,,,
30081,MT,Ravalli County,county_equivalent,2025,not_researched,,,
30083,MT,Richland County,county_equivalent,2025,not_researched,,,
30085,MT,Roosevelt County,county_equivalent,2025,not_researched,,,
30087,MT,Rosebud County,county_equivalent,2025,not_researched,,,
30089,MT,Sanders County,county_equivalent,2025,not_researched,,,
30091,MT,Sheridan County,county_equivalent,2025,not_researched,,,
30093,MT,Silver Bow County,county_equivalent,2025,not_researched,,,
30095,MT,Stillwater County,county_equivalent,2025,not_researched,,,
30097,MT,Sweet Grass County,county_equivalent,2025,not_researched,,,
30099,MT,Teton County,county_equivalent,2025,not_researched,,,
30101,MT,Toole County,county_equivalent,2025,not_researched,,,
30103,MT,Treasure County,county_equivalent,2025,not_researched,,,
30105,MT,Valley County,county_equivalent,2025,not_researched,,,
30107,MT,Wheatland County,county_equivalent,2025,not_researched,,,
30109,MT,Wibaux County,county_equivalent,2025,not_researched,,,
30111,MT,Yellowstone County,county_equivalent,2025,not_researched,,,
