entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
34001,NJ,Atlantic County,county_equivalent,2025,not_researched,,,
34003,NJ,Bergen County,county_equivalent,2025,not_researched,,,
34005,NJ,Burlington County,county_equivalent,2025,not_researched,,,
34007,NJ,Camden County,county_equivalent,2025,not_researched,,,
34009,NJ,Cape May County,county_equivalent,2025,not_researched,,,
34011,NJ,Cumberland County,county_equivalent,2025,not_researched,,,
34013,NJ,Essex County,county_equivalent,2025,not_researched,,,
34015,NJ,Gloucester County,county_equivalent,2025,not_researched,,,
34017,NJ,Hudson County,county_equivalent,2025,not_researched,,,
34019,NJ,Hunterdon County,county_equivalent,2025,not_researched,,,
34021,NJ,Mercer County,county_equivalent,2025,not_researched,,,
34023,NJ,Middlesex County,county_equivalent,2025,not_researched,,,
34025,NJ,Monmouth County,county_equivalent,2025,not_researched,,,
34027,NJ,Morris County,county_equivalent,2025,candidate_found,nj.morris_county.bids,2026-07-15,Morris County
34029,NJ,Ocean County,county_equivalent,2025,not_researched,,,
34031,NJ,Passaic County,county_equivalent,2025,not_researched,,,
34033,NJ,Salem County,county_equivalent,2025,not_researched,,,
34035,NJ,Somerset County,county_equivalent,2025,not_researched,,,
34037,NJ,Sussex County,county_equivalent,2025,not_researched,,,
34039,NJ,Union County,county_equivalent,2025,not_researched,,,
34041,NJ,Warren County,county_equivalent,2025,not_researched,,,
