entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
41001,OR,Baker County,county_equivalent,2025,not_researched,,,
41003,OR,Benton County,county_equivalent,2025,not_researched,,,
41005,OR,Clackamas County,county_equivalent,2025,not_researched,,,
41007,OR,Clatsop County,county_equivalent,2025,not_researched,,,
41009,OR,Columbia County,county_equivalent,2025,not_researched,,,
41011,OR,Coos County,county_equivalent,2025,not_researched,,,
41013,OR,Crook County,county_equivalent,2025,not_researched,,,
41015,OR,Curry County,county_equivalent,2025,not_researched,,,
41017,OR,Deschutes County,county_equivalent,2025,not_researched,,,
41019,OR,Douglas County,county_equivalent,2025,not_researched,,,
41021,OR,Gilliam County,county_equivalent,2025,not_researched,,,
41023,OR,Grant County,county_equivalent,2025,not_researched,,,
41025,OR,Harney County,county_equivalent,2025,not_researched,,,
41027,OR,Hood River County,county_equivalent,2025,not_researched,,,
41029,OR,Jackson County,county_equivalent,2025,candidate_found,or.jackson_county.bids,2026-07-15,Jackson County
41031,OR,Jefferson County,county_equivalent,2025,not_researched,,,
41033,OR,Josephine County,county_equivalent,2025,not_researched,,,
41035,OR,Klamath County,county_equivalent,2025,not_researched,,,
41037,OR,Lake County,county_equivalent,2025,not_researched,,,
41039,OR,Lane County,county_equivalent,2025,not_researched,,,
41041,OR,Lincoln County,county_equivalent,2025,not_researched,,,
41043,OR,Linn County,county_equivalent,2025,not_researched,,,
41045,OR,Malheur County,county_equivalent,2025,not_researched,,,
41047,OR,Marion County,county_equivalent,2025,not_researched,,,
41049,OR,Morrow County,county_equivalent,2025,not_researched,,,
41051,OR,Multnomah County,county_equivalent,2025,not_researched,,,
41053,OR,Polk County,county_equivalent,2025,not_researched,,,
41055,OR,Sherman County,county_equivalent,2025,not_researched,,,
41057,OR,Tillamook County,county_equivalent,2025,not_researched,,,
41059,OR,Umatilla County,county_equivalent,2025,not_researched,,,
41061,OR,Union County,county_equivalent,2025,not_researched,,,
41063,OR,Wallowa County,county_equivalent,2025,not_researched,,,
41065,OR,Wasco County,county_equivalent,2025,not_researched,,,
41067,OR,Washington County,county_equivalent,2025,not_researched,,,
41069,OR,Wheeler County,county_equivalent,2025,not_researched,,,
41071,OR,Yamhill County,county_equivalent,2025,not_researched,,,
