entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
51001,VA,Accomack County,county_equivalent,2025,not_researched,,,
51003,VA,Albemarle County,county_equivalent,2025,not_researched,,,
51005,VA,Alleghany County,county_equivalent,2025,not_researched,,,
51007,VA,Amelia County,county_equivalent,2025,not_researched,,,
51009,VA,Amherst County,county_equivalent,2025,not_researched,,,
51011,VA,Appomattox County,county_equivalent,2025,not_researched,,,
51013,VA,Arlington County,county_equivalent,2025,not_researched,,,
51015,VA,Augusta County,county_equivalent,2025,not_researched,,,
51017,VA,Bath County,county_equivalent,2025,not_researched,,,
51019,VA,Bedford County,county_equivalent,2025,not_researched,,,
51021,VA,Bland County,county_equivalent,2025,not_researched,,,
51023,VA,Botetourt County,county_equivalent,2025,not_researched,,,
51025,VA,Brunswick County,county_equivalent,2025,not_researched,,,
51027,VA,Buchanan County,county_equivalent,2025,not_researched,,,
51029,VA,Buckingham County,county_equivalent,2025,not_researched,,,
51031,VA,Campbell County,county_equivalent,2025,not_researched,,,
51033,VA,Caroline County,county_equivalent,2025,not_researched,,,
51035,VA,Carroll County,county_equivalent,2025,not_researched,,,
51036,VA,Charles City County,county_equivalent,2025,not_researched,,,
51037,VA,Charlotte County,county_equivalent,2025,not_researched,,,
51041,VA,Chesterfield County,county_equivalent,2025,candidate_found,va.chesterfield_county.procurement,2026-07-15,Chesterfield County
51043,VA,Clarke County,county_equivalent,2025,not_researched,,,
51045,VA,Craig County,county_equivalent,2025,not_researched,,,
51047,VA,Culpeper County,county_equivalent,2025,not_researched,,,
51049,VA,Cumberland County,county_equivalent,2025,not_researched,,,
51051,VA,Dickenson County,county_equivalent,2025,not_researched,,,
51053,VA,Dinwiddie County,county_equivalent,2025,not_researched,,,
51057,VA,Essex County,county_equivalent,2025,not_researched,,,
51059,VA,Fairfax County,county_equivalent,2025,not_researched,,,
51061,VA,Fauquier County,county_equivalent,2025,not_researched,,,
51063,VA,Floyd County,county_equivalent,2025,not_researched,,,
51065,VA,Fluvanna County,county_equivalent,2025,not_researched,,,
51067,VA,Franklin County,county_equivalent,2025,not_researched,,,
51069,VA,Frederick County,county_equivalent,2025,not_researched,,,
51071,VA,Giles County,county_equivalent,2025,not_researched,,,
51073,VA,Gloucester County,county_equivalent,2025,not_researched,,,
51075,VA,Goochland County,county_equivalent,2025,not_researched,,,
51077,VA,Grayson County,county_equivalent,2025,not_researched,,,
51079,VA,Greene County,county_equivalent,2025,not_researched,,,
51081,VA,Greensville County,county_equivalent,2025,not_researched,,,
51083,VA,Halifax County,county_equivalent,2025,not_researched,,,
51085,VA,Hanover County,county_equivalent,2025,not_researched,,,
51087,VA,Henrico County,county_equivalent,2025,not_researched,,,
51089,VA,Henry County,county_equivalent,2025,not_researched,,,
51091,VA,Highland County,county_equivalent,2025,not_researched,,,
