entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
50001,VT,Addison County,county_equivalent,2025,not_researched,,,
50003,VT,Bennington County,county_equivalent,2025,not_researched,,,
50005,VT,Caledonia County,county_equivalent,2025,not_researched,,,
50007,VT,Chittenden County,county_equivalent,2025,not_researched,,,
50009,VT,Essex County,county_equivalent,2025,not_researched,,,
50011,VT,Franklin County,county_equivalent,2025,not_researched,,,
50013,VT,Grand Isle County,county_equivalent,2025,not_researched,,,
50015,VT,Lamoille County,county_equivalent,2025,not_researched,,,
50017,VT,Orange County,county_equivalent,2025,not_researched,,,
50019,VT,Orleans County,county_equivalent,2025,not_researched,,,
50021,VT,Rutland County,county_equivalent,2025,not_researched,,,
50023,VT,Washington County,county_equivalent,2025,not_researched,,,
50025,VT,Windham County,county_equivalent,2025,not_researched,,,
50027,VT,Windsor County,county_equivalent,2025,not_researched,,,
