entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
53001,WA,Adams County,county_equivalent,2025,not_researched,,,
53003,WA,Asotin County,county_equivalent,2025,not_researched,,,
53005,WA,Benton County,county_equivalent,2025,not_researched,,,
53007,WA,Chelan County,county_equivalent,2025,not_researched,,,
53009,WA,Clallam County,county_equivalent,2025,not_researched,,,
53011,WA,Clark County,county_equivalent,2025,not_researched,,,
53013,WA,Columbia County,county_equivalent,2025,not_researched,,,
53015,WA,Cowlitz County,county_equivalent,2025,not_researched,,,
53017,WA,Douglas County,county_equivalent,2025,not_researched,,,
53019,WA,Ferry County,county_equivalent,2025,not_researched,,,
53021,WA,Franklin County,county_equivalent,2025,not_researched,,,
53023,WA,Garfield County,county_equivalent,2025,not_researched,,,
53025,WA,Grant County,county_equivalent,2025,not_researched,,,
53027,WA,Grays Harbor County,county_equivalent,2025,not_researched,,,
53029,WA,Island County,county_equivalent,2025,not_researched,,,
53031,WA,Jefferson County,county_equivalent,2025,not_researched,,,
53033,WA,King County,county_equivalent,2025,candidate_found,wa.king_county.procurement,2026-07-15,King County
53035,WA,Kitsap County,county_equivalent,2025,not_researched,,,
53037,WA,Kittitas County,county_equivalent,2025,not_researched,,,
53039,WA,Klickitat County,county_equivalent,2025,not_researched,,,
53041,WA,Lewis County,county_equivalent,2025,not_researched,,,
53043,WA,Lincoln County,county_equivalent,2025,not_researched,,,
53045,WA,Mason County,county_equivalent,2025,not_researched,,,
53047,WA,Okanogan County,county_equivalent,2025,not_researched,,,
53049,WA,Pacific County,county_equivalent,2025,not_researched,,,
53051,WA,Pend Oreille County,county_equivalent,2025,not_researched,,,
53053,WA,Pierce County,county_equivalent,2025,candidate_found,wa.pierce_county.bids,2026-07-15,Pierce County
53055,WA,San Juan County,county_equivalent,2025,not_researched,,,
53057,WA,Skagit County,county_equivalent,2025,not_researched,,,
53059,WA,Skamania County,county_equivalent,2025,not_researched,,,
53061,WA,Snohomish County,county_equivalent,2025,not_researched,,,
53063,WA,Spokane County,county_equivalent,2025,not_researched,,,
53065,WA,Stevens County,county_equivalent,2025,not_researched,,,
53067,WA,Thurston County,county_equivalent,2025,not_researched,,,
53069,WA,Wahkiakum County,county_equivalent,2025,not_researched,,,
53071,WA,Walla Walla County,county_equivalent,2025,not_researched,,,
53073,WA,Whatcom County,county_equivalent,2025,not_researched,,,
53075,WA,Whitman County,county_equivalent,2025,not_researched,,,
53077,WA,Yakima County,county_equivalent,2025,not_researched,,,
