entity_id,state,entity_name,entity_kind,universe_vintage,research_status,source_id,last_checked_on,notes
55001,WI,Adams County,county_equivalent,2025,not_researched,,,
55003,WI,Ashland County,county_equivalent,2025,not_researched,,,
55005,WI,Barron County,county_equivalent,2025,not_researched,,,
55007,WI,Bayfield County,county_equivalent,2025,not_researched,,,
55009,WI,Brown County,county_equivalent,2025,not_researched,,,
55011,WI,Buffalo County,county_equivalent,2025,not_researched,,,
55013,WI,Burnett County,county_equivalent,2025,not_researched,,,
55015,WI,Calumet County,county_equivalent,2025,not_researched,,,
55017,WI,Chippewa County,county_equivalent,2025,not_researched,,,
55019,WI,Clark County,county_equivalent,2025,not_researched,,,
55021,WI,Columbia County,county_equivalent,2025,not_researched,,,
55023,WI,Crawford County,county_equivalent,2025,not_researched,,,
55025,WI,Dane County,county_equivalent,2025,not_researched,,,
55027,WI,Dodge County,county_equivalent,2025,not_researched,,,
55029,WI,Door County,county_equivalent,2025,not_researched,,,
55031,WI,Douglas County,county_equivalent,2025,not_researched,,,
55033,WI,Dunn County,county_equivalent,2025,not_researched,,,
55035,WI,Eau Claire County,county_equivalent,2025,not_researched,,,
55037,WI,Florence County,county_equivalent,2025,not_researched,,,
55039,WI,Fond du Lac County,county_equivalent,2025,not_researched,,,
55041,WI,Forest County,county_equivalent,2025,not_researched,,,
55043,WI,Grant County,county_equivalent,2025,not_researched,,,
55045,WI,Green County,county_equivalent,2025,not_researched,,,
55047,WI,Green Lake County,county_equivalent,2025,not_researched,,,
55049,WI,Iowa County,county_equivalent,2025,not_researched,,,
55051,WI,Iron County,county_equivalent,2025,not_researched,,,
55053,WI,Jackson County,county_equivalent,2025,not_researched,,,
55055,WI,Jefferson County,county_equivalent,2025,not_researched,,,
55057,WI,Juneau County,county_equivalent,2025,not_researched,,,
55059,WI,Kenosha County,county_equivalent,2025,not_researched,,,
55061,WI,Kewaunee County,county_equivalent,2025,not_researched,,,
55063,WI,La Crosse County,county_equivalent,2025,not_researched,,,
55065,WI,Lafayette County,county_equivalent,2025,not_researched,,,
55067,WI,Langlade County,county_equivalent,2025,not_researched,,,
55069,WI,Lincoln County,county_equivalent,2025,not_researched,,,
55071,WI,Manitowoc County,county_equivalent,2025,not_researched,,,
55073,WI,Marathon County,county_equivalent,2025,not_researched,,,
55075,WI,Marinette County,county_equivalent,2025,not_researched,,,
55077,WI,Marquette County,county_equivalent,2025,not_researched,,,
55078,WI,Menominee County,county_equivalent,2025,not_researched,,,
55079,WI,Milwaukee County,county_equivalent,2025,candidate_found,wi.milwaukee_county.bids,2026-07-15,Milwaukee County
55081,WI,Monroe County,county_equivalent,2025,not_researched,,,
55083,WI,Oconto County,county_equivalent,2025,not_researched,,,
55085,WI,Oneida County,county_equivalent,2025,not_researched,,,
55087,WI,Outagamie County,county_equivalent,2025,not_researched,,,
55089,WI,Ozaukee County,county_equivalent,2025,not_researched,,,
55091,WI,Pepin County,county_equivalent,2025,not_researched,,,
55093,WI,Pierce County,county_equivalent,2025,not_researched,,,
55095,WI,Polk County,county_equivalent,2025,not_researched,,,
55097,WI,Portage County,county_equivalent,2025,not_researched,,,
55099,WI,Price County,county_equivalent,2025,not_researched,,,
55101,WI,Racine County,county_equivalent,2025,not_researched,,,
55103,WI,Richland County,county_equivalent,2025,not_researched,,,
55105,WI,Rock County,county_equivalent,2025,not_researched,,,
55107,WI,Rusk County,county_equivalent,2025,not_researched,,,
55109,WI,St. Croix County,county_equivalent,2025,not_researched,,,
55111,WI,Sauk County,county_equivalent,2025,not_researched,,,
55113,WI,Sawyer County,county_equivalent,2025,not_researched,,,
55115,WI,Shawano County,county_equivalent,2025,not_researched,,,
55117,WI,Sheboygan County,county_equivalent,2025,not_researched,,,
55119,WI,Taylor County,county_equivalent,2025,not_researched,,,
55121,WI,Trempealeau County,county_equivalent,2025,not_researched,,,
55123,WI,Vernon County,county_equivalent,2025,not_researched,,,
55125,WI,Vilas County,county_equivalent,2025,not_researched,,,
55127,WI,Walworth County,county_equivalent,2025,not_researched,,,
55129,WI,Washburn County,county_equivalent,2025,not_researched,,,
55131,WI,Washington County,county_equivalent,2025,not_researched,,,
55133,WI,Waukesha County,county_equivalent,2025,not_researched,,,
55135,WI,Waupaca County,county_equivalent,2025,not_researched,,,
55137,WI,Waushara County,county_equivalent,2025,not_researched,,,
55139,WI,Winnebago County,county_equivalent,2025,not_researched,,,
55141,WI,Wood County,county_equivalent,2025,not_researched,,,
