entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,0260200,AK,Perryville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0260310,AK,Petersburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0260460,AK,Petersville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0260640,AK,Pilot Point city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0260750,AK,Pilot Station city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0260860,AK,Pitkas Point CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0261080,AK,Platinum city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0261120,AK,Pleasant Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0261190,AK,Point Baker CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0261630,AK,Point Hope city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0261700,AK,Point Lay CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0261788,AK,Point MacKenzie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0261825,AK,Point Possession CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0262125,AK,Pope-Vannoy Landing CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0262285,AK,Portage Creek CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0262510,AK,Port Alexander city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0262620,AK,Port Alsworth CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0263170,AK,Port Clarence CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0263280,AK,Port Graham CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0263390,AK,Port Heiden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0263610,AK,Port Lions city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0263870,AK,Port Protection CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0264240,AK,Primrose CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0264380,AK,Prudhoe Bay CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0264600,AK,Quinhagak city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0264820,AK,Rampart CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0264930,AK,Red Devil CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0264980,AK,Red Dog Mine CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0265345,AK,Ridgeway CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0265590,AK,Ruby city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0265700,AK,Russian Mission city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0265800,AK,St. George city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0266140,AK,St. Mary's city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0266360,AK,St. Michael city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0266470,AK,St. Paul city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0266510,AK,Salamatof CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0266550,AK,Salcha CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0267020,AK,Sand Point city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0267460,AK,Savoonga city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0267570,AK,Saxman city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0267680,AK,Scammon Bay city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0268230,AK,Selawik city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0268340,AK,Seldovia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0268370,AK,Seldovia Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0268560,AK,Seward city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0268670,AK,Shageluk city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0268890,AK,Shaktoolik city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0269770,AK,Shishmaref city,incorporated_place,2025,researchable,not_researched,,
