entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,0140072,AL,Kinsey city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0140096,AL,Kinston town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0140648,AL,Ladonia CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0140672,AL,La Fayette city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0140888,AL,Lakeview town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0140928,AL,Lake View city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0141296,AL,Lanett city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0141368,AL,Langston town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0141968,AL,Leeds city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142016,AL,Leesburg town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142160,AL,Leighton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142304,AL,Leroy CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0142352,AL,Lester town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142472,AL,Level Plains town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142640,AL,Lexington town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142808,AL,Libertyville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0142928,AL,Lillian CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0143120,AL,Lincoln city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143240,AL,Linden town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143264,AL,Lineville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143336,AL,Lipscomb city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143384,AL,Lisman town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143648,AL,Littleville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143720,AL,Livingston city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143744,AL,Loachapoka town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143816,AL,Lockhart town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0143888,AL,Locust Fork town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0144160,AL,Lookout Mountain CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0144344,AL,Louisville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0144536,AL,Lowndesboro town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0144608,AL,Loxley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0144728,AL,Luverne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0144800,AL,Lynn town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0145040,AL,McCalla CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0145208,AL,McDonald Chapel CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0145316,AL,Macedonia CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0145472,AL,McIntosh town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0145496,AL,McKenzie town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0145640,AL,McMullen town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0145784,AL,Madison city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0145904,AL,Madrid town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0146072,AL,Magnolia Springs town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0146192,AL,Malcolm CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0146264,AL,Malvern town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0146504,AL,Maplesville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0146600,AL,Marbury CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0146696,AL,Margaret city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0146768,AL,Marion city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0147728,AL,Maytown town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0147740,AL,Meadowbrook CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0147848,AL,Megargel CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0148052,AL,Memphis town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148064,AL,Mentone town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148112,AL,Meridianville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0148376,AL,Midfield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148400,AL,Midland City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148424,AL,Midway town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148616,AL,Mignon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0148712,AL,Millbrook city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148784,AL,Millerville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0148808,AL,Millport town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0148832,AL,Millry town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0149072,AL,Minor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
