entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,0540120,AR,Little Flock city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541000,AR,Little Rock city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541090,AR,Lockesburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541270,AR,London city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541420,AR,Lonoke city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541450,AR,Lonsdale town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541555,AR,Lost Bridge Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0541630,AR,Louann town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0541720,AR,Lowell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542170,AR,Luxora city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542260,AR,Lynn town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542350,AR,McAlmont CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0542410,AR,McCaskill town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542500,AR,McCrory city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542560,AR,McDougal town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0542770,AR,McGehee city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543070,AR,McNab town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543100,AR,McNeil city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543220,AR,McRae city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543280,AR,Madison city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543310,AR,Magazine city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543370,AR,Magness town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543430,AR,Magnet Cove CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0543460,AR,Magnolia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543610,AR,Malvern city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543670,AR,Mammoth Spring city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543820,AR,Manila city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0543880,AR,Mansfield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544120,AR,Marianna city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544150,AR,Marie town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544180,AR,Marion city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544210,AR,Marked Tree city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544240,AR,Marmaduke city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544300,AR,Marshall city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544420,AR,Marvell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544600,AR,Maumelle city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544750,AR,Mayflower city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544780,AR,Maynard town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0544810,AR,Maysville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0545080,AR,Melbourne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0545110,AR,Mellwood CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0545170,AR,Mena city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0545200,AR,Menifee town,incorporated_place,2025,researchable,not_researched,,
