entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,0850012,CO,Meridian CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0850026,CO,Meridian Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0850040,CO,Merino town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0850380,CO,Midland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0850480,CO,Milliken town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0850920,CO,Minturn town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851250,CO,Moffat town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851635,CO,Monte Vista city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851690,CO,Montezuma town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851745,CO,Montrose city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851800,CO,Monument town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0851975,CO,Morgan Heights CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0852075,CO,Morrison town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0852210,CO,Mountain Meadows CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0852350,CO,Mountain View town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0852550,CO,Mountain Village town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0852570,CO,Mount Crested Butte town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0852820,CO,Mulford CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0853010,CO,Nathrop CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0853120,CO,Naturita town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0853175,CO,Nederland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0853395,CO,New Castle town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0853780,CO,Niwot CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0853875,CO,No Name CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0853945,CO,Norrie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0854330,CO,Northglenn city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0854495,CO,North La Junta CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0854750,CO,North Washington CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0854880,CO,Norwood town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0854935,CO,Nucla town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855045,CO,Nunn town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855155,CO,Oak Creek town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855540,CO,Olathe town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855705,CO,Olney Springs town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855870,CO,Ophir town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0855925,CO,Orchard CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0855980,CO,Orchard City town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856035,CO,Orchard Mesa CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0856145,CO,Ordway town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856365,CO,Otis town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856420,CO,Ouray city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856475,CO,Ovid town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856695,CO,Padroni CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0856860,CO,Pagosa Springs town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0856970,CO,Palisade town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857025,CO,Palmer Lake town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857245,CO,Paoli town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857300,CO,Paonia town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857400,CO,Parachute town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857445,CO,Paragon Estates CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0857465,CO,Park Center CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0857630,CO,Parker town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0857850,CO,Parshall CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0858235,CO,Peetz town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,0858400,CO,Penrose CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0858510,CO,Peoria CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0858592,CO,Perry Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,0858675,CO,Peyton CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
