entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1020380,DE,Delmar town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1020900,DE,Dewey Beach town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1021200,DE,Dover city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1021387,DE,Dover Base Housing CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1023240,DE,Edgemoor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1024020,DE,Ellendale town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1024540,DE,Elsmere town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1025840,DE,Farmington town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1026620,DE,Felton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1026880,DE,Fenwick Island town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1028310,DE,Frankford town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1028440,DE,Frederica town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1029090,DE,Georgetown town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1029350,DE,Glasgow CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
