entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1240037,FL,Lely Resort CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240100,FL,Lemon Grove CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240387,FL,Liberty Triangle CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240450,FL,Lighthouse Point city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1240525,FL,Limestone CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240562,FL,Limestone Creek CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240750,FL,Lisbon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240875,FL,Live Oak city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1240950,FL,Lloyd CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1240985,FL,Lochmoor Waterway Estates CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1241025,FL,Lockhart CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1241150,FL,Longboat Key town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1241250,FL,Longwood city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1241400,FL,Loughman CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1241562,FL,Lower Grand Lagoon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1241577,FL,Loxahatchee Groves town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1241775,FL,Lutz CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1241825,FL,Lynn Haven city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1241950,FL,Macclenny city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242090,FL,McGregor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1242150,FL,McIntosh town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242400,FL,Madeira Beach city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242425,FL,Madison city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242575,FL,Maitland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242625,FL,Malabar town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242650,FL,Malone town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242700,FL,Manalapan town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1242750,FL,Manasota Key CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1242787,FL,Manatee Road CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1242850,FL,Mango CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1242900,FL,Mangonia Park town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243000,FL,Marathon city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243083,FL,Marco Island city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243090,FL,Marco Shores-Hammock Bay CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243125,FL,Margate city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243175,FL,Marianna city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243250,FL,Marineland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243300,FL,Marion Oaks CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243375,FL,Mary Esther city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243400,FL,Masaryktown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243425,FL,Mascotte city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243475,FL,Matlacha CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243484,FL,Matlacha Isles-Matlacha Shores CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243575,FL,Mayo town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243785,FL,Meadow Oaks CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243800,FL,Meadow Woods CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243900,FL,Medley town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1243925,FL,Medulla CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1243975,FL,Melbourne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1244000,FL,Melbourne Beach town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1244075,FL,Melbourne Village town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1244175,FL,Memphis CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1244275,FL,Merritt Island CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1244300,FL,Mexico Beach city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245000,FL,Miami city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245025,FL,Miami Beach city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245060,FL,Miami Gardens city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245100,FL,Miami Lakes town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245175,FL,Miami Shores village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245200,FL,Miami Springs city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245225,FL,Micanopy town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245275,FL,Micco CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245300,FL,Miccosukee CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245350,FL,Middleburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245425,FL,Midway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245465,FL,Midway CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245475,FL,Midway CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245750,FL,Milton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245775,FL,Mims CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1245900,FL,Minneola city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1245975,FL,Miramar city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1246000,FL,Miramar Beach CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1246225,FL,Molino CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1246500,FL,Monticello city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1246520,FL,Montura CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1246525,FL,Montverde town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1246540,FL,Moon Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1246550,FL,Moore Haven city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1246725,FL,Morriston CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247000,FL,Mount Carmel CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247050,FL,Mount Dora city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1247125,FL,Mount Plymouth CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247175,FL,Mulat CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247200,FL,Mulberry city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1247300,FL,Munson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247550,FL,Myrtle Grove CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247625,FL,Naples city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1247650,FL,Naples Manor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247675,FL,Naples Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247700,FL,Naranja CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1247787,FL,Nassau Village-Ratliff CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1248050,FL,Navarre CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
