entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1350008,GA,Martin town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350036,GA,Martinez CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1350176,GA,Matthews CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1350260,GA,Maxeys town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350484,GA,Maysville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350596,GA,Meansville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350680,GA,Meigs city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350820,GA,Mendes CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1350848,GA,Menlo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1350960,GA,Mershon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1351072,GA,Metter city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351240,GA,Midville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351352,GA,Midway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351408,GA,Milan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351492,GA,Milledgeville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351520,GA,Millen city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351576,GA,Millwood CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1351604,GA,Milner city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351660,GA,Milstead CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1351670,GA,Milton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1351744,GA,Mineral Bluff CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1351968,GA,Mitchell town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352108,GA,Molena city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352192,GA,Monroe city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352304,GA,Montezuma city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352332,GA,Montgomery CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1352416,GA,Monticello city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352500,GA,Montrose town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352556,GA,Moody AFB CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1352668,GA,Moreland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352696,GA,Morgan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1352724,GA,Morganton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1353004,GA,Morrow city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1353032,GA,Morven city,incorporated_place,2025,researchable,not_researched,,
