entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1950070,IA,Marysville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950160,IA,Mason City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950205,IA,Masonville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950250,IA,Massena city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950385,IA,Matlock city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950430,IA,Maurice city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950520,IA,Maxwell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950610,IA,Maynard city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950655,IA,Maysville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950700,IA,Mechanicsville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950790,IA,Mediapolis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950880,IA,Melbourne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950935,IA,Melcher-Dallas city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1950970,IA,Melrose city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951060,IA,Melvin city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951105,IA,Menlo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951150,IA,Meriden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951375,IA,Merrill city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951420,IA,Meservey city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1951510,IA,Meyer CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1951600,IA,Middle Amana CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1951735,IA,Middletown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952050,IA,Miles city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952095,IA,Milford city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952140,IA,Miller CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1952230,IA,Millersburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952275,IA,Millerton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952455,IA,Milo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952500,IA,Milton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952545,IA,Minburn city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952590,IA,Minden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952635,IA,Mineola CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1952815,IA,Mingo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952860,IA,Missouri Valley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952905,IA,Mitchell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952950,IA,Mitchellville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1952995,IA,Modale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1953085,IA,Mona CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1953175,IA,Mondamin city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1953265,IA,Monmouth city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1953310,IA,Monona city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1953355,IA,Monroe city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1953490,IA,Montezuma city,incorporated_place,2025,researchable,not_researched,,
