entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1650140,ID,Malad City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1650230,ID,Malta city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1650950,ID,Marsing city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1651850,ID,Melba city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1652030,ID,Menan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1652120,ID,Meridian city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1652660,ID,Middleton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1652750,ID,Midvale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1653110,ID,Minidoka city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1653920,ID,Montpelier city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1654100,ID,Moore city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1654370,ID,Moreland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1654550,ID,Moscow city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1654730,ID,Mountain Home city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1654820,ID,Mountain Home AFB CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1655270,ID,Moyie Springs city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1655450,ID,Mud Lake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1655630,ID,Mullan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1655720,ID,Murphy CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1655900,ID,Murtaugh city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1656260,ID,Nampa city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1656800,ID,Newdale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1656890,ID,New Meadows city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1656980,ID,New Plymouth city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1657250,ID,Nezperce city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1658060,ID,Notus city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1658330,ID,Oakley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1658600,ID,Oldtown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1658870,ID,Onaway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1659320,ID,Orofino city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1659590,ID,Osburn city,incorporated_place,2025,researchable,not_researched,,
