entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1780008,IL,West Brooklyn village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780047,IL,Westchester village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780060,IL,West Chicago city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780073,IL,West City village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780125,IL,West Dundee village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780242,IL,Western Springs village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780255,IL,Westervelt CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1780281,IL,Westfield village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780333,IL,West Frankfort city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780570,IL,Westlake Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1780580,IL,West Liberty CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1780645,IL,Westmont village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780736,IL,West Peoria city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780762,IL,West Point village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780853,IL,West Salem village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780879,IL,West Union CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1780931,IL,Westville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1780957,IL,West York CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1781048,IL,Wheaton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1781074,IL,Wheeler village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1781087,IL,Wheeling village,incorporated_place,2025,researchable,not_researched,,
