entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,1830024,IN,Griffin town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1830042,IN,Griffith town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1830060,IN,Grissom AFB CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1830114,IN,Groveland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1830150,IN,Groverton CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1830294,IN,Gwynneville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1830402,IN,Hagerstown town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1830564,IN,Hamburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1830594,IN,Hamilton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1830708,IN,Hamlet town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1831000,IN,Hammond city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1831180,IN,Hanna CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1831216,IN,Hanover town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1831396,IN,Hardinsburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1831432,IN,Harlan CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1831486,IN,Harmony town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832098,IN,Harrison Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832170,IN,Harrodsburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832242,IN,Hartford City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832332,IN,Hartsville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832422,IN,Hashtown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832494,IN,Hatfield CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832512,IN,Haubstadt town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832584,IN,Hayden CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832638,IN,Haysville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832728,IN,Hazleton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832768,IN,Hartz Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832818,IN,Hebron town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1832854,IN,Hedrick CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832926,IN,Helmer CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832944,IN,Helmsburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832980,IN,Heltonville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1832998,IN,Hemlock CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833142,IN,Henryville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833178,IN,Herbst CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833187,IN,Heritage Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833214,IN,Hessen Cassel CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833392,IN,Hidden Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833466,IN,Highland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1833484,IN,Highland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833826,IN,Hillisburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1833862,IN,Hillsboro town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1833952,IN,Hillsdale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834096,IN,Hoagland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834114,IN,Hobart city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1834168,IN,Hobbs CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834186,IN,Hoffman Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834284,IN,Holiday Woods CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834294,IN,Holland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1834366,IN,Holton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1834420,IN,Homecroft town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1834456,IN,Homer CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834744,IN,Hope town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1834816,IN,Hortonville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1834978,IN,Howe CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1835086,IN,Hudson town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1835104,IN,Hudson Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1835266,IN,Huntertown town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1835284,IN,Huntingburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1835302,IN,Huntington city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1835392,IN,Huron CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1835500,IN,Hymera town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1835536,IN,Idaville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1835626,IN,Independence CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1836003,IN,Indianapolis city (balance),fictitious_place,2025,structural_F,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_F
incorporated_place,1836306,IN,Indian Village town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1836342,IN,Ingalls town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1836468,IN,Ireland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1837674,IN,Jalapa CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1837692,IN,Jamestown town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1837764,IN,Jasonville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1837782,IN,Jasper city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1838358,IN,Jeffersonville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1838484,IN,Jerome CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1838547,IN,Jimmerson Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1838664,IN,Johnson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1838862,IN,Jonesboro city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1838916,IN,Jonesville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839042,IN,Judah CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839078,IN,Judson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839096,IN,Judyville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839366,IN,Kempton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839402,IN,Kendallville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839438,IN,Kennard town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839510,IN,Kent CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839546,IN,Kentland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839618,IN,Kewanna town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839654,IN,Keystone CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839744,IN,Kimmell CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,1839798,IN,Kingman town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839816,IN,Kingsbury town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839852,IN,Kingsford Heights town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,1839942,IN,Kirklin town,incorporated_place,2025,researchable,not_researched,,
