entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2070000,KS,Tampa city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070075,KS,Tecumseh CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2070250,KS,Tescott city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070300,KS,Thayer city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070357,KS,The Highlands city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070625,KS,Timken city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070675,KS,Tipton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2070800,KS,Tonganoxie city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071000,KS,Topeka city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071050,KS,Toronto city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071125,KS,Towanda city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071450,KS,Tribune city,nonfunctioning_incorporated_place,2025,structural_N,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_N
incorporated_place,2071575,KS,Troy city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071800,KS,Turon city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071925,KS,Tyro city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071950,KS,Udall city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2071975,KS,Ulysses city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2072525,KS,Uniontown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2072600,KS,Urbana CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2072650,KS,Utica city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2073250,KS,Valley Center city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2073300,KS,Valley Falls city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2073450,KS,Vassar CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2073525,KS,Vermillion city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2073775,KS,Victoria city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2073950,KS,Vining city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074025,KS,Viola city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074075,KS,Virgil city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074225,KS,Wabaunsee CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2074425,KS,Wakarusa CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2074450,KS,WaKeeney city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074525,KS,Wakefield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074575,KS,Waldo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074625,KS,Waldron city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074750,KS,Wallace city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2074950,KS,Walnut city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2075200,KS,Walton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2075325,KS,Wamego city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2075825,KS,Washington city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2075950,KS,Waterville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076000,KS,Wathena city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076050,KS,Waverly city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076175,KS,Wayside CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2076250,KS,Webber city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076350,KS,Weir city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076425,KS,Welda CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2076475,KS,Wellington city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076550,KS,Wells CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2076625,KS,Wellsville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2076675,KS,Weskan CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2077150,KS,West Mineral city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077200,KS,Westmoreland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077250,KS,Westphalia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077500,KS,Westwood city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077525,KS,Westwood Hills city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077550,KS,Wetmore city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077700,KS,Wheaton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077825,KS,White City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2077850,KS,White Cloud city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2078050,KS,Whitewater city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2078100,KS,Whiting city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079000,KS,Wichita city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079250,KS,Willard city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079300,KS,Williamsburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079375,KS,Williamstown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2079400,KS,Willis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079425,KS,Willowbrook city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079550,KS,Wilmore city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079625,KS,Wilroads Gardens CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2079650,KS,Wilsey city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079675,KS,Wilson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079800,KS,Winchester city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079850,KS,Windom city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2079950,KS,Winfield city,incorporated_place,2025,researchable,not_researched,,
