entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2130232,KY,Garrison CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2130700,KY,Georgetown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2130718,KY,Germantown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2130808,KY,Ghent city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2130880,KY,Gilbertsville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2131114,KY,Glasgow city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131204,KY,Glencoe city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131348,KY,Glenview city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131402,KY,Glenview Hills city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131420,KY,Glenview Manor city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131870,KY,Goose Creek city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2131960,KY,Goshen city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132032,KY,Gracey CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2132212,KY,Grand Rivers city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132428,KY,Gratz city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132523,KY,Graymoor-Devondale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132572,KY,Grayson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132968,KY,Greensburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2132986,KY,Green Spring city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2133004,KY,Greenup city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2133022,KY,Greenville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2133562,KY,Guthrie city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2134390,KY,Hanson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2134534,KY,Hardin city,incorporated_place,2025,researchable,not_researched,,
