entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2250010,LA,Merryville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2250115,LA,Metairie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2250325,LA,Midland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2250395,LA,Midway CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2250815,LA,Milton CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2250885,LA,Minden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2250990,LA,Minorca CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251410,LA,Monroe city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2251550,LA,Montegut CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251585,LA,Monterey CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251620,LA,Montgomery town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2251645,LA,Monticello CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251690,LA,Montpelier village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2251795,LA,Montz CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251800,LA,Moonshine CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2251830,LA,Mooringsport town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2251970,LA,Moreauville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2252040,LA,Morgan City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2252075,LA,Morganza village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2252250,LA,Morrow CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2252320,LA,Morse village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2252425,LA,Moss Bluff CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2252565,LA,Mound village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2252740,LA,Mount Lebanon town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2253370,LA,Napoleonville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2253475,LA,Natalbany CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2253510,LA,Natchez village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2253545,LA,Natchitoches city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2253930,LA,Newellton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2254035,LA,New Iberia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2254175,LA,New Llano town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2255000,LA,New Orleans city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2255074,LA,New Orleans Station CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
