entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2660180,MI,Oden CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2660340,MI,Okemos CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2660580,MI,Olivet city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2660640,MI,Omena CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2660660,MI,Omer city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2660680,MI,Onaway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2660740,MI,Onekama village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2660840,MI,Onsted village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2660860,MI,Ontonagon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661020,MI,Orchard Lake Village city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661220,MI,Ortonville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661320,MI,Oscoda CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2661500,MI,Ossineke CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2661600,MI,Otisville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661620,MI,Otsego city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661760,MI,Otter Lake village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661860,MI,Ovid city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661920,MI,Owendale village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2661940,MI,Owosso city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2662020,MI,Oxford village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2662120,MI,Painesdale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2662180,MI,Palmer CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2662260,MI,Palo CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2662340,MI,Parchment city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2662400,MI,Paris CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2662500,MI,Parkdale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2662740,MI,Parma village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2662980,MI,Paw Paw village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663020,MI,Paw Paw Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2663200,MI,Pearl Beach CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2663260,MI,Peck village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663280,MI,Pelkie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2663300,MI,Pellston village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663540,MI,Pentwater village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663660,MI,Perrinton village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663700,MI,Perry city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663800,MI,Petersburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663820,MI,Petoskey city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2663900,MI,Pewamo village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664020,MI,Pierson village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664060,MI,Pigeon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664100,MI,Pilgrim CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2664140,MI,Pinckney village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664160,MI,Pinconning city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664600,MI,Pittsford CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2664740,MI,Plainwell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2664900,MI,Pleasant Ridge city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665060,MI,Plymouth city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665420,MI,Pon-she-wa-ing CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2665440,MI,Pontiac city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665560,MI,Portage city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665680,MI,Port Austin village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665800,MI,Port Hope village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665820,MI,Port Huron city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665860,MI,Portland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2665900,MI,Port Sanilac village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666000,MI,Posen village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666100,MI,Potterville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666140,MI,Powers village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666300,MI,Prescott village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666343,MI,Presque Isle Harbor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2666400,MI,Prudenville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2666640,MI,Quincy village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2666720,MI,Quinnesec CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2666980,MI,Ramsay CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2667140,MI,Rapid City CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2667160,MI,Rapid River CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2667280,MI,Ravenna village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2667500,MI,Reading city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2667820,MI,Reed City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2667900,MI,Reese village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2667980,MI,Republic CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2668240,MI,Richland village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2668380,MI,Richmond city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2668720,MI,Riverdale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2668760,MI,River Rouge city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2668880,MI,Riverview city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2668990,MI,Robin Glen-Indiantown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2669020,MI,Rochester city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669035,MI,Rochester Hills city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669060,MI,Rock CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2669080,MI,Rockford city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669120,MI,Rockland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2669180,MI,Rockwood city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669260,MI,Rogers City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669400,MI,Romeo village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669420,MI,Romulus city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669520,MI,Roosevelt Park city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669540,MI,Roscommon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669640,MI,Rosebush village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669680,MI,Rose City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669800,MI,Roseville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2669880,MI,Rothbury village,incorporated_place,2025,researchable,not_researched,,
