entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2760016,MN,Shorewood city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2760250,MN,Silver Bay city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2760322,MN,Silver Creek CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2760376,MN,Silver Lake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2760754,MN,Skyline city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2760808,MN,Slayton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2760844,MN,Sleepy Eye city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761006,MN,Sobieski city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761114,MN,Solway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761204,MN,Soudan CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2761340,MN,South End CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2761402,MN,South Haven city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761492,MN,South St. Paul city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761690,MN,Spicer city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761816,MN,Springfield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761852,MN,Spring Grove city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761888,MN,Spring Hill city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2761996,MN,Spring Lake Park city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2762014,MN,Spring Park city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2762104,MN,Spring Valley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2762284,MN,Squaw Lake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2762320,MN,Stacy city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2762356,MN,Stanchfield CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
