entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2940034,MO,Lake Ozark city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940039,MO,Lake St. Clair CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2940043,MO,Lake St. Louis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940088,MO,Lakeshire city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940142,MO,Lakeside city,inactive_incorporated_place,2025,structural_I,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_I
incorporated_place,2940196,MO,Lake Tapawingo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940214,MO,Lake Tekakwitha village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940222,MO,Lake Timberline CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2940304,MO,Lake Viking CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2940322,MO,Lake Waukomis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940340,MO,Lake Winnebago city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940376,MO,Lamar city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940430,MO,Lamar Heights city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940448,MO,Lambert village,inactive_incorporated_place,2025,structural_I,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_I
incorporated_place,2940520,MO,La Monte city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940592,MO,Lanagan town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940610,MO,Lancaster city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940682,MO,La Plata city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940736,MO,Laredo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940790,MO,La Russell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2940808,MO,Latham CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2940826,MO,Lathrop city,incorporated_place,2025,researchable,not_researched,,
