entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,2840280,MS,Leland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2840360,MS,Lena town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2840600,MS,Lexington city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2840640,MS,Liberty town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2841680,MS,Long Beach city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2841960,MS,Longview CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2842200,MS,Louin town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842240,MS,Louise town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842280,MS,Louisville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842440,MS,Lucedale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842600,MS,Lula town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842640,MS,Lumberton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842800,MS,Lyman CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2842840,MS,Lynchburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2842960,MS,Lyon town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2842980,MS,Maben town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2843280,MS,McComb city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2843400,MS,McCool town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2843840,MS,McLain town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844240,MS,Macon city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844520,MS,Madison city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844600,MS,Magee city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844680,MS,Magnolia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844920,MS,Mantachie town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2844960,MS,Mantee village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2845120,MS,Marietta town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2845160,MS,Marion town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2845240,MS,Marks city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2845720,MS,Mathiston town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846000,MS,Mayersville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846200,MS,Meadville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846600,MS,Mendenhall city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846640,MS,Meridian city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846680,MS,Meridian Station CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2846720,MS,Merigold town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2846880,MS,Metcalfe town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848030,MS,Mississippi State CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2848120,MS,Mississippi Valley State University CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2848240,MS,Mize town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848560,MS,Monticello town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848640,MS,Montrose town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848720,MS,Mooreville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2848760,MS,Moorhead city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848800,MS,Morgan City town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2848880,MS,Morgantown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2849080,MS,Morton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2849160,MS,Moselle CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,2849240,MS,Moss Point city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2849320,MS,Mound Bayou city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2849520,MS,Mount Olive town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,2849640,MS,Mount Pleasant CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
