entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3700160,NC,Aberdeen town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3700440,NC,Advance CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3700500,NC,Ahoskie town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3700640,NC,Alamance village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3700680,NC,Albemarle city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3700880,NC,Alexis CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3701000,NC,Alliance town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701140,NC,Altamahaw CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3701340,NC,Anderson Creek CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3701380,NC,Andrews town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701400,NC,Angier town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701420,NC,Ansonville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701520,NC,Apex town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701560,NC,Aquadale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3701640,NC,Arapahoe town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701720,NC,Archdale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701760,NC,Archer Lodge town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3701972,NC,Arrowhead Beach CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3702080,NC,Asheboro city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702140,NC,Asheville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702240,NC,Ashley Heights CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3702320,NC,Askewville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702460,NC,Atkinson town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702480,NC,Atlantic CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3702500,NC,Atlantic Beach town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702580,NC,Aulander town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702620,NC,Aurora town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3702700,NC,Autryville town,incorporated_place,2025,researchable,not_researched,,
