entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3860100,ND,Osnabrock city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860380,ND,Overly city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860480,ND,Oxbow city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860500,ND,Page city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860620,ND,Palermo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860900,ND,Park River city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3860940,ND,Parshall city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3861460,ND,Pekin city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3861580,ND,Pembina city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3861780,ND,Perth city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3861860,ND,Petersburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862060,ND,Pettibone city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862260,ND,Pick City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862540,ND,Pillsbury city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862620,ND,Pingree city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862780,ND,Pisek city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3862980,ND,Plaza city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3863700,ND,Porcupine CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3863740,ND,Portal city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3863900,ND,Portland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3864140,ND,Powers Lake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3864320,ND,Prairie Rose city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3865100,ND,Raleigh CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3865580,ND,Ray city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3865900,ND,Reeder city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3865980,ND,Regan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866020,ND,Regent city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866040,ND,Reile's Acres city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866260,ND,Reynolds city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866300,ND,Rhame city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866500,ND,Richardton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3866980,ND,Riverdale city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3867180,ND,Robinson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3867500,ND,Rocklake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3867620,ND,Rogers city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3867780,ND,Rolette city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3867820,ND,Rolla city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3868540,ND,Ross city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3868860,ND,Rugby city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3869140,ND,Ruso city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3869300,ND,Ruthville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3869340,ND,Rutland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3869460,ND,Ryder city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3869980,ND,St. John city,incorporated_place,2025,researchable,not_researched,,
