entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3150020,NE,Valley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150125,NE,Valparaiso village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150230,NE,Venango village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150265,NE,Venice CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3150335,NE,Verdel village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150370,NE,Verdigre village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150510,NE,Verdon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150790,NE,Virginia village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150895,NE,Waco village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3150965,NE,Wahoo city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151070,NE,Wakefield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151175,NE,Wallace village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151245,NE,Walthill village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151280,NE,Walton CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3151350,NE,Wann CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3151595,NE,Washington village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151630,NE,Waterbury village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151665,NE,Waterloo village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151700,NE,Wauneta village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151735,NE,Wausa village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151770,NE,Waverly city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3151840,NE,Wayne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152015,NE,Weeping Water city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152085,NE,Wellfleet village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152295,NE,Western village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152330,NE,Westerville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3152540,NE,Weston village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152575,NE,West Point city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152855,NE,White Clay CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3152925,NE,Whitney village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152960,NE,Wilber city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3152995,NE,Wilcox village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153205,NE,Willow Island CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3153240,NE,Wilsonville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153275,NE,Winnebago village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153345,NE,Winnetoon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153380,NE,Winside village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153415,NE,Winslow village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153450,NE,Wisner city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153520,NE,Wolbach village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153555,NE,Wood Lake village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153575,NE,Woodland Hills CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3153580,NE,Woodland Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3153660,NE,Wood River city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153835,NE,Wymore city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3153905,NE,Wynot village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3154020,NE,Yankee Hill CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3154045,NE,York city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3154115,NE,Yutan city,incorporated_place,2025,researchable,not_researched,,
