entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3440020,NJ,Leonia borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440140,NJ,Liberty Corner CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3440290,NJ,Lincoln Park borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440320,NJ,Lincroft CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3440350,NJ,Linden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440440,NJ,Lindenwold borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440530,NJ,Linwood city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440680,NJ,Little Ferry borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440770,NJ,Little Silver borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3440990,NJ,Llewellyn Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3441010,NJ,Loch Arbour village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3441100,NJ,Lodi borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3441310,NJ,Long Branch city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3441370,NJ,Longport borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3441400,NJ,Long Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3441495,NJ,Lopatcong Overlook CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3441700,NJ,Lower Berkshire Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442180,NJ,Lyons CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442390,NJ,McGuire AFB CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442420,NJ,McKee City CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442450,NJ,Macopin CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442510,NJ,Madison borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3442540,NJ,Madison Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3442630,NJ,Magnolia borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3442840,NJ,Malaga CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
