entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3600155,NY,Accord CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3600199,NY,Adams village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3600232,NY,Adams Center CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3600276,NY,Addison village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3600342,NY,Afton village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3600408,NY,Airmont village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3600441,NY,Akron village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3600457,NY,Akwesasne CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601000,NY,Albany city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601011,NY,Albertson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601033,NY,Albion village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601088,NY,Alden village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601154,NY,Alexander village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601187,NY,Alexandria Bay village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601198,NY,Alfred village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601286,NY,Allegany village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601440,NY,Almond village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601517,NY,Altamont village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3601550,NY,Altmar CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601572,NY,Altona CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601594,NY,Amagansett CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601682,NY,Amenia CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3601737,NY,Ames village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3602044,NY,Amityville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3602066,NY,Amsterdam city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3602121,NY,Andes CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3602143,NY,Andover village,incorporated_place,2025,researchable,not_researched,,
