entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,3910030,OH,Bucyrus city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910128,OH,Buffalo CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3910156,OH,Buford CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3910254,OH,Burbank village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910282,OH,Burgoon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910296,OH,Burkettsville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910352,OH,Burlington CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3910436,OH,Burton village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910632,OH,Butler village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910674,OH,Butlerville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910716,OH,Byesville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910800,OH,Cadiz village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910884,OH,Cairo village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910926,OH,Calcutta CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3910940,OH,Caldwell village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910954,OH,Caledonia village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3910996,OH,Cambridge city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3911024,OH,Camden village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3911066,OH,Campbell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3911150,OH,Camp Dennison CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3911304,OH,Canal Fulton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3911318,OH,Canal Lewisville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3911332,OH,Canal Winchester city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3911334,OH,Candlewood Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3911360,OH,Canfield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912000,OH,Canton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912056,OH,Carbon Hill CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,3912084,OH,Cardington village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912112,OH,Carey village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912168,OH,Carlisle city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912252,OH,Carroll village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912280,OH,Carrollton village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912462,OH,Casstown village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912476,OH,Castalia village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912504,OH,Castine village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912560,OH,Catawba village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,3912700,OH,Cecil village,incorporated_place,2025,researchable,not_researched,,
