entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4040000,OK,Kiowa town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040100,OK,Knowles town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040200,OK,Konawa city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040300,OK,Krebs city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040400,OK,Kremlin town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040700,OK,Lahoma town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040800,OK,Lake Aluma town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4040875,OK,Lake Ellsworth Addition CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041050,OK,Lakeside Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041250,OK,Lamar town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041300,OK,Lambert town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041350,OK,Lamont town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041400,OK,Lane CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041500,OK,Langley town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041550,OK,Langston town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041680,OK,Latta CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041700,OK,Laverne town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041760,OK,Lawrence Creek town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041850,OK,Lawton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4041856,OK,Lawtonka Acres CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041900,OK,Leach CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4041950,OK,Lebanon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4042050,OK,Leedey town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4042150,OK,Le Flore town,incorporated_place,2025,researchable,not_researched,,
