entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4130165,OR,Gopher Flats CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4130250,OR,Government Camp CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4130300,OR,Grand Ronde CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4130500,OR,Granite city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4130550,OR,Grants Pass city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4130650,OR,Grass Valley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4130750,OR,Green CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4131050,OR,Greenhorn city,inactive_incorporated_place,2025,structural_I,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_I
incorporated_place,4131115,OR,Green Meadows CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4131250,OR,Gresham city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4131600,OR,Haines city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4131650,OR,Halfway city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4131750,OR,Halsey city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4132050,OR,Happy Valley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4132100,OR,Harbor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4132400,OR,Harper CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4132550,OR,Harrisburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4132850,OR,Hayesville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4133100,OR,Hebo CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4133150,OR,Heceta Beach CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4133250,OR,Helix city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4133550,OR,Heppner city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4133700,OR,Hermiston city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4134100,OR,Hillsboro city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4134250,OR,Hines city,incorporated_place,2025,researchable,not_researched,,
