entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4200100,PA,Aaronsburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200104,PA,Aaronsburg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200116,PA,Abbottstown borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200244,PA,Ackermanville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200276,PA,Acosta CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200332,PA,Adamsburg borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200364,PA,Adamstown borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200372,PA,Adamsville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200396,PA,Addison borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200540,PA,Akron borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200572,PA,Alba borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200628,PA,Albion borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200652,PA,Albrightsville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200660,PA,Alburtis borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200676,PA,Aldan borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200756,PA,Alexandria borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200764,PA,Alfarata CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200820,PA,Aliquippa city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4200924,PA,Alleghenyville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200980,PA,Allenport CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4200988,PA,Allenport borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4201004,PA,Allensville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202000,PA,Allentown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4202016,PA,Allenwood CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202040,PA,Allison CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202056,PA,Allison Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202072,PA,Allport CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202088,PA,Almedia CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202128,PA,Alsace Manor CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202144,PA,Altamont CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202184,PA,Altoona city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4202216,PA,Alverda CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202264,PA,Ambler borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4202288,PA,Ambridge borough,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4202296,PA,Ambridge Heights CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202349,PA,Amity Gardens CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4202416,PA,Ancient Oaks CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
