entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4550020,SC,Newtown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4550110,SC,Nichols town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4550290,SC,Ninety Six town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4550515,SC,Norris town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4550560,SC,North town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4550695,SC,North Augusta city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4550875,SC,North Charleston city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4551145,SC,North Hartsville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4551180,SC,Northlake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4551280,SC,North Myrtle Beach city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4551367,SC,North Santee CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4551550,SC,Norway town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4551720,SC,Oak Grove CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4551887,SC,Oakland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4552540,SC,Olanta town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4552585,SC,Olar town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4552900,SC,Olympia CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4553080,SC,Orangeburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4553485,SC,Oswego CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4553845,SC,Pacolet town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4554025,SC,Pageland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4554340,SC,Pamplico town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4554535,SC,Parker CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4554700,SC,Parksville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4554925,SC,Patrick town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4554970,SC,Pauline CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4555015,SC,Pawleys Island town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555060,SC,Paxville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555150,SC,Peak town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555420,SC,Pelion town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555465,SC,Pelzer town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555645,SC,Pendleton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4555960,SC,Perry town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4556140,SC,Pickens city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4556365,SC,Piedmont CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4556545,SC,Pimlico CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4556905,SC,Pine Ridge CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4556950,SC,Pine Ridge town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4557085,SC,Pinewood town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4557175,SC,Pinopolis CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4557670,SC,Plum Branch town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4557850,SC,Pomaria town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4558030,SC,Port Royal town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4558170,SC,Powdersville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
