entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4600100,SD,Aberdeen city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600460,SD,Agar town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600520,SD,Agency Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4600540,SD,Akaska town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600620,SD,Albee town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600700,SD,Alcester city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600820,SD,Alexandria city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4600900,SD,Allen CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4601020,SD,Alpena town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4601140,SD,Altamont town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4601450,SD,Anderson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4601500,SD,Andover town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4601560,SD,Angostura CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4601740,SD,Antelope CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4601980,SD,Ardmore CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4602180,SD,Arlington city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602260,SD,Armour city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602340,SD,Artas town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602380,SD,Artesian town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602530,SD,Ashland Heights CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4602540,SD,Ashton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602580,SD,Astoria town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602780,SD,Aurora town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4602860,SD,Aurora Center CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4602900,SD,Avon city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4603060,SD,Badger town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4603380,SD,Baltic city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4603420,SD,Bancroft town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4603860,SD,Batesland town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4603900,SD,Bath CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
