entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4770060,TN,South Pittsburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770180,TN,Sparta city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770240,TN,Spencer city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770400,TN,Spring City town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770500,TN,Springfield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770580,TN,Spring Hill city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770680,TN,Spurgeon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4770820,TN,Stanton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770840,TN,Stantonville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4770900,TN,Statesville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4771500,TN,Strawberry Plains CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4771800,TN,Sullivan Gardens CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4772040,TN,Summertown CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4772140,TN,Sunbright city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4772380,TN,Surgoinsville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4772540,TN,Sweetwater city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4772780,TN,Taft CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4773120,TN,Tazewell town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4773220,TN,Telford CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4773260,TN,Tellico Plains town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4773270,TN,Tellico Village CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4773460,TN,Tennessee Ridge town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4773900,TN,Thompson's Station town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4774100,TN,Three Way city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4774540,TN,Tiptonville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4774640,TN,Toone town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4774860,TN,Townsend city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4774880,TN,Tracy City town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775000,TN,Trenton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775100,TN,Trezevant town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775160,TN,Trimble town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775240,TN,Troy town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775300,TN,Tuckers Crossroads CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4775320,TN,Tullahoma city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775560,TN,Tusculum city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775820,TN,Unicoi town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4775940,TN,Union City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4776180,TN,Unionville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4776660,TN,Valley Forge CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4776860,TN,Vanleer town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4777400,TN,Viola town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4777480,TN,Vonore town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4777540,TN,Walden town,incorporated_place,2025,researchable,not_researched,,
