entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4830044,TX,Goldsmith city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830056,TX,Goldthwaite city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830080,TX,Goliad city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830092,TX,Golinda city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830116,TX,Gonzales city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830188,TX,Goodlow city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830224,TX,Goodrich city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830272,TX,Gordon city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830296,TX,Goree city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830308,TX,Gorman city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830380,TX,Graford city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830392,TX,Graham city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830416,TX,Granbury city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830440,TX,Grandfalls town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830464,TX,Grand Prairie city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830476,TX,Grand Saline city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830512,TX,Grandview city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830548,TX,Granger city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830560,TX,Grangerland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4830584,TX,Granite Shoals city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830608,TX,Granjeno city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830629,TX,Grape Creek CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4830632,TX,Grapeland city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830644,TX,Grapevine city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830752,TX,Grays Prairie village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4830890,TX,Green Valley Farms CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4830920,TX,Greenville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831064,TX,Gregory city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831100,TX,Grey Forest city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831280,TX,Groesbeck city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831292,TX,Groom town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831328,TX,Groves city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831340,TX,Groveton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831412,TX,Gruver city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831442,TX,Guadalupe Guerra CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4831484,TX,Guerra CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4831592,TX,Gun Barrel City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831616,TX,Gunter city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831628,TX,Gustine town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831640,TX,Guthrie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4831646,TX,Gutierrez CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4831715,TX,Hackberry town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831820,TX,Hale Center city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831868,TX,Hallettsville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831880,TX,Hallsburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831904,TX,Hallsville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831928,TX,Haltom City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831952,TX,Hamilton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4831964,TX,Hamlin city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832012,TX,Hamshire CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832156,TX,Happy town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832240,TX,Hardin city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832246,TX,Harding Gill Tract CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832300,TX,Hargill CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832312,TX,Harker Heights city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832372,TX,Harlingen city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832456,TX,Harper CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832552,TX,Harrold CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832576,TX,Hart city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832612,TX,Hartley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832684,TX,Harwood town,inactive_incorporated_place,2025,structural_I,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_I
incorporated_place,4832696,TX,Haskell city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832720,TX,Haslet city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832792,TX,Havana CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832810,TX,Hawk Cove city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832816,TX,Hawkins city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832840,TX,Hawley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832906,TX,Hays city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832910,TX,H. Cuellar Estates CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832972,TX,Hearne city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4832978,TX,Heartland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4832984,TX,Heath city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833008,TX,Hebbronville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4833020,TX,Hebron town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833044,TX,Hedley city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833068,TX,Hedwig Village city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833092,TX,Heidelberg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4833146,TX,Helotes city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833188,TX,Hemphill city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833200,TX,Hempstead city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833212,TX,Henderson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833284,TX,Henrietta city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833320,TX,Hereford city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4833356,TX,Hermleigh CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4833428,TX,Hewitt city,incorporated_place,2025,researchable,not_researched,,
