entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,4970190,UT,Snyderville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4970850,UT,South Jordan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4970960,UT,South Ogden city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4971070,UT,South Salt Lake city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4971180,UT,South Weber city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4971255,UT,South Willard CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4971290,UT,Spanish Fork city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4971455,UT,Spanish Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4971730,UT,Spring City city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4971840,UT,Springdale town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4972060,UT,Spring Glen CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4972170,UT,Spring Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4972280,UT,Springville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4972720,UT,Stansbury Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4972940,UT,Sterling town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4973050,UT,Stockton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4974040,UT,Summit CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4974095,UT,Summit Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4974260,UT,Sundance CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4974480,UT,Sunset city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4974590,UT,Sutherland CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4974810,UT,Syracuse city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4974920,UT,Tabiona town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4975360,UT,Taylorsville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4975470,UT,Teasdale CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4975800,UT,Thatcher CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4976180,UT,Thompson Springs CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4976280,UT,Timber Lakes CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4976680,UT,Tooele city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4976900,UT,Toquerville city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4977010,UT,Torrey town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4977120,UT,Tremonton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4977230,UT,Trenton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4977560,UT,Tropic town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,4977697,UT,Tselakai Dezza CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,4977890,UT,Uintah town,incorporated_place,2025,researchable,not_researched,,
