entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,5310075,WA,Carlsborg CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5310215,WA,Carnation city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5310320,WA,Carson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5310455,WA,Cascade Valley CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5310495,WA,Cashmere city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5310565,WA,Castle Rock city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5310600,WA,Cathcart CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5310635,WA,Cathlamet town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5310645,WA,Cavalero CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5311090,WA,Centerville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5311160,WA,Centralia city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5311195,WA,Central Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5311325,WA,Chain Lake CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5311475,WA,Chehalis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5311615,WA,Chelan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5311685,WA,Chelan Falls CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5311825,WA,Cheney city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5312015,WA,Cherry Grove CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5312140,WA,Chewelah city,incorporated_place,2025,researchable,not_researched,,
