entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,5570000,WI,Rudolph village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5570500,WI,St. Cloud village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5570550,WI,St. Croix Falls city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5570650,WI,St. Francis city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5570800,WI,St. Joseph CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571025,WI,St. Nazianz village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5571050,WI,St. Peter CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571163,WI,Salem Lakes village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5571512,WI,Sand Pillow CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571585,WI,Sandy Hook CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571650,WI,Sauk City village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5571700,WI,Saukville village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5571850,WI,Saxon CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571950,WI,Sayner CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5571975,WI,Scandinavia village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5572150,WI,Schofield city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5572475,WI,Seneca CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5572650,WI,Sextonville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5572670,WI,Seymour CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5572725,WI,Seymour city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5572875,WI,Sharon village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5572925,WI,Shawano city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5572975,WI,Sheboygan city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5573025,WI,Sheboygan Falls city,incorporated_place,2025,researchable,not_researched,,
