entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,5480020,WV,Thomas city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5480284,WV,Thurmond town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5480476,WV,Tioga CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5480764,WV,Tornado CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5480932,WV,Triadelphia town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5481268,WV,Tunnelton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5481484,WV,Twilight CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5481940,WV,Union town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5482564,WV,Valley Bend CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5482732,WV,Valley Grove village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5482756,WV,Valley Head CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5482852,WV,Van CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5483332,WV,Verdunville CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5483500,WV,Vienna city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5483764,WV,Vivian CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5484172,WV,Wallace CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5484484,WV,War city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5484580,WV,Wardensville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5484724,WV,Washington CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5484916,WV,Waverly CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5484940,WV,Wayne town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485156,WV,Weirton city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485228,WV,Welch city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485324,WV,Wellsburg city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485636,WV,West Dunbar CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5485804,WV,West Hamlin town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485876,WV,West Liberty town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485900,WV,West Logan town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485924,WV,West Milford town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485972,WV,Weston city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5485996,WV,Westover city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486116,WV,West Union town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486452,WV,Wheeling city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486620,WV,White Hall town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486812,WV,White Sulphur Springs city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486836,WV,Whitesville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5486932,WV,Whitmer CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5487316,WV,Wiley Ford CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5487508,WV,Williamson city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5487556,WV,Williamstown city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5487892,WV,Windsor Heights village,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5487988,WV,Winfield town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5488276,WV,Wolf Summit CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5488324,WV,Womelsdorf (Coalton) town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5488708,WV,Worthington town,incorporated_place,2025,researchable,not_researched,,
