entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
incorporated_place,5620110,WY,Diamondville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5620690,WY,Dixon town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5621125,WY,Douglas city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5621415,WY,Dubois town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5622720,WY,East Thermopolis town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5623010,WY,Eden CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5623155,WY,Edgerton town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5624025,WY,Elk Mountain town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5624350,WY,El Rancho CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5624750,WY,Encampment town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5625185,WY,Esterbrook CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5625330,WY,Ethete CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5625475,WY,Etna CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5625620,WY,Evanston city,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5625765,WY,Evansville town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5625910,WY,Fairview CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5626055,WY,Farson CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5627650,WY,Fontenelle CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5627940,WY,Fort Bridger CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5628230,WY,Fort Laramie town,incorporated_place,2025,researchable,not_researched,,
incorporated_place,5628665,WY,Fort Washakie CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5629300,WY,Fox Farm-College CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5629400,WY,Fox Park CDP,census_designated_place,2025,structural_S,not_applicable,2026-07-15,Census FUNCSTAT disposition is structural_S
incorporated_place,5629825,WY,Frannie town,incorporated_place,2025,researchable,not_researched,,
