entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,0510080,AR,Mount Vernon-Enola School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510170,AR,Mountain Pine School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510200,AR,Mountain View School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510260,AR,Mountainburg Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0510290,AR,Mulberry School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510320,AR,South Pike County School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510380,AR,Nashville School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510410,AR,Nemo Vista School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510440,AR,Nettleton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510560,AR,Norfork Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0510680,AR,North Little Rock School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510920,AR,Omaha School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510950,AR,Osceola School District,unified_school_district,2025,researchable,not_researched,,
school_district,0510980,AR,Ouachita School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511010,AR,Ozark School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511070,AR,Pangburn School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511130,AR,Paris School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511220,AR,Parkers Chapel School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511340,AR,Perryville School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511370,AR,Piggott School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511610,AR,Pocahontas School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511700,AR,Pottsville Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0511730,AR,Poyen School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511760,AR,Prairie Grove School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511820,AR,Prescott School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511850,AR,Pulaski County Special School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511880,AR,Quitman School District,unified_school_district,2025,researchable,not_researched,,
school_district,0511970,AR,Rogers Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0512000,AR,Rose Bud School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512060,AR,Russellville Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0512090,AR,Salem School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512180,AR,Scranton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512210,AR,Searcy School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512420,AR,Shirley School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512450,AR,Siloam Springs Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0512480,AR,Sloan-Hendrix School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512510,AR,Smackover-Norphlet School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512520,AR,South Conway County School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512540,AR,Southside School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512570,AR,South Side-Bee Branch School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512630,AR,Spring Hill School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512660,AR,Springdale School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512930,AR,Strong School District,unified_school_district,2025,researchable,not_researched,,
school_district,0512960,AR,Stuttgart School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513080,AR,Greene County Technical School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513110,AR,Texarkana School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513230,AR,Jackson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513350,AR,Valley Springs School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513380,AR,Valley View School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513410,AR,Van Buren School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513530,AR,Vilonia School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513560,AR,Viola School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513680,AR,Waldron School District,unified_school_district,2025,researchable,not_researched,,
school_district,0513930,AR,Watson Chapel School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514010,AR,West Fork School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514020,AR,Westside School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514040,AR,West Side School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514140,AR,White Hall School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514370,AR,Wonderview School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514400,AR,Woodlawn School District,unified_school_district,2025,researchable,not_researched,,
school_district,0514430,AR,Wynne Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,0514490,AR,Yellville-Summit School District,unified_school_district,2025,researchable,not_researched,,
