entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,0900005,CT,Regional School District 19,secondary_school_district,2025,researchable,not_researched,,
school_district,0900030,CT,Andover School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900060,CT,Ansonia School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900090,CT,Ashford School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900120,CT,Avon School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900150,CT,Barkhamsted School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900210,CT,Berlin School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900240,CT,Bethany School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900270,CT,Bethel School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900330,CT,Bloomfield School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900360,CT,Bolton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900390,CT,Bozrah School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900420,CT,Branford School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900450,CT,Bridgeport School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900510,CT,Bristol School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900540,CT,Brookfield School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900570,CT,Brooklyn School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900630,CT,Canaan School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900660,CT,Canterbury School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900690,CT,Canton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900720,CT,Chaplin School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900750,CT,Cheshire School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900780,CT,Chester School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900810,CT,Clinton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900840,CT,Colchester School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900870,CT,Colebrook School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900900,CT,Columbia School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900930,CT,Cornwall School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0900960,CT,Coventry School District,unified_school_district,2025,researchable,not_researched,,
school_district,0900990,CT,Cromwell School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901020,CT,Danbury School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901050,CT,Darien School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901080,CT,Deep River School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901110,CT,Derby School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901170,CT,East Granby School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901200,CT,East Haddam School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901230,CT,East Hampton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901260,CT,East Hartford School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901290,CT,East Haven School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901320,CT,East Lyme School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901350,CT,East Windsor School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901380,CT,Eastford School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901410,CT,Easton School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901440,CT,Ellington School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901470,CT,Enfield School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901500,CT,Essex School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901530,CT,Fairfield School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901560,CT,Farmington School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901590,CT,Franklin School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901620,CT,Glastonbury School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901680,CT,Granby School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901710,CT,Greenwich School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901740,CT,Griswold School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901770,CT,Groton School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901800,CT,Guilford School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901860,CT,Hamden School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901890,CT,Hampton School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0901920,CT,Hartford School District,unified_school_district,2025,researchable,not_researched,,
school_district,0901950,CT,Hartland School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902010,CT,Hebron School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902040,CT,Kent School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902070,CT,Killingly School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902130,CT,Lebanon School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902160,CT,Ledyard School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902190,CT,Lisbon School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902280,CT,Madison School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902310,CT,Manchester School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902340,CT,Mansfield School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902370,CT,Marlborough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,0902400,CT,Meriden School District,unified_school_district,2025,researchable,not_researched,,
school_district,0902490,CT,Middletown School District,unified_school_district,2025,researchable,not_researched,,
