entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,1300001,GA,Troup County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300002,GA,Fort Benning Schools,elementary_school_district,2025,researchable,not_researched,,
school_district,1300003,GA,Fort Stewart School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300060,GA,Appling County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300090,GA,Atkinson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300120,GA,Atlanta City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300150,GA,Bacon County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300180,GA,Baker County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300210,GA,Baldwin County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300240,GA,Banks County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300290,GA,Barrow County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300330,GA,Bartow County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300360,GA,Ben Hill County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300390,GA,Berrien County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300420,GA,Bibb County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300440,GA,Bleckley County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300480,GA,Brantley County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300510,GA,Bremen City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300540,GA,Brooks County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300570,GA,Bryan County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300600,GA,Buford City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300630,GA,Bulloch County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300660,GA,Burke County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300690,GA,Butts County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300720,GA,Calhoun City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300750,GA,Calhoun County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300780,GA,Camden County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300810,GA,Candler County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300840,GA,Carroll County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300870,GA,Carrollton City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300900,GA,Cartersville City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300930,GA,Catoosa County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1300990,GA,Charlton County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301020,GA,Chatham County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301050,GA,Chattahoochee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301080,GA,Chattooga County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301110,GA,Cherokee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301140,GA,Chickamauga City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301170,GA,Clarke County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301200,GA,Clay County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301230,GA,Clayton County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301260,GA,Clinch County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301290,GA,Cobb County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301350,GA,Coffee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301380,GA,Colquitt County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301410,GA,Columbia County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301440,GA,Commerce City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301470,GA,Cook County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301500,GA,Coweta County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301530,GA,Crawford County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301560,GA,Crisp County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301590,GA,Dade County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301620,GA,Dalton City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301650,GA,Dawson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301680,GA,Decatur City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301710,GA,Decatur County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301740,GA,DeKalb County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301770,GA,Dodge County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301800,GA,Dooly County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301830,GA,Dougherty School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301860,GA,Douglas County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301870,GA,Dublin City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301890,GA,Laurens County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301920,GA,Early County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301950,GA,Echols County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1301980,GA,Effingham County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302010,GA,Elbert County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302040,GA,Emanuel County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302070,GA,Evans County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302100,GA,Fannin County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302130,GA,Fayette County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302190,GA,Floyd County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302220,GA,Forsyth County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302250,GA,Franklin County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302280,GA,Fulton County School District,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,1302310,GA,Gainesville City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302340,GA,Gilmer County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302370,GA,Glascock County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302400,GA,Glynn County School District,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,1302430,GA,Gordon County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302460,GA,Grady County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302490,GA,Greene County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302520,GA,Spalding County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302550,GA,Gwinnett County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302580,GA,Habersham County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302610,GA,Hall County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302640,GA,Hancock County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302670,GA,Haralson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302700,GA,Harris County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302730,GA,Hart County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302790,GA,Heard County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302820,GA,Henry County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302880,GA,Houston County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302910,GA,Irwin County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302940,GA,Jackson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1302970,GA,Jasper County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303000,GA,Jeff Davis County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303030,GA,Jefferson City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303060,GA,Jefferson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303090,GA,Jenkins County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303120,GA,Johnson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303150,GA,Jones County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303210,GA,Lamar County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303240,GA,Lanier County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303270,GA,Lee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303300,GA,Liberty County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303330,GA,Lincoln County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303360,GA,Long County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303390,GA,Lowndes County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303420,GA,Lumpkin County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303450,GA,Macon County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303480,GA,Madison County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303510,GA,Marietta City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303540,GA,Marion County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303570,GA,McDuffie County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303600,GA,McIntosh County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303630,GA,Meriwether County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303660,GA,Miller County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303690,GA,Mitchell County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303720,GA,Monroe County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303750,GA,Montgomery County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303780,GA,Morgan County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303840,GA,Murray County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303870,GA,Muscogee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303930,GA,Newton County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303960,GA,Oconee County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1303990,GA,Oglethorpe County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1304020,GA,Paulding County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1304050,GA,Peach County School District,unified_school_district,2025,researchable,not_researched,,
school_district,1304080,GA,Pelham City School District,unified_school_district,2025,researchable,not_researched,,
school_district,1304110,GA,Pickens County School District,unified_school_district,2025,researchable,not_researched,,
