entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,1720170,IL,Iroquois County Community Unit School District 9,unified_school_district,2025,researchable,not_researched,,
school_district,1720180,IL,Iroquois West Community Unit School District 10,unified_school_district,2025,researchable,not_researched,,
school_district,1720190,IL,Irvington County Community Unit School District 11,elementary_school_district,2025,researchable,not_researched,,
school_district,1720220,IL,Itasca School District 10,elementary_school_district,2025,researchable,not_researched,,
school_district,1720250,IL,Iuka Community Consolidated School District 7,elementary_school_district,2025,researchable,not_researched,,
school_district,1720280,IL,Jacksonville School District 117,unified_school_district,2025,researchable,not_researched,,
school_district,1720370,IL,Jasper Community Consolidated School District 17,elementary_school_district,2025,researchable,not_researched,,
school_district,1720380,IL,Jasper County Community Unit School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,1720430,IL,Jersey Community Unit School District 100,unified_school_district,2025,researchable,not_researched,,
school_district,1720490,IL,Johnsburg Community Unit School District 12,unified_school_district,2025,researchable,not_researched,,
school_district,1720550,IL,Johnston City Community Unit School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,1720580,IL,Joliet Public School District 86,elementary_school_district,2025,researchable,not_researched,,
school_district,1720610,IL,Joliet Township High School District 204,secondary_school_district,2025,researchable,not_researched,,
school_district,1720640,IL,Jonesboro Community Consolidated School District 43,elementary_school_district,2025,researchable,not_researched,,
school_district,1720760,IL,Kankakee School District 111,unified_school_district,2025,researchable,not_researched,,
school_district,1720790,IL,Kansas Community Unit School District 3,unified_school_district,2025,researchable,not_researched,,
school_district,1720880,IL,Keeneyville School District 20,elementary_school_district,2025,researchable,not_researched,,
school_district,1720910,IL,Kell Consolidated School District 2,elementary_school_district,2025,researchable,not_researched,,
school_district,1720970,IL,Kenilworth School District 38,elementary_school_district,2025,researchable,not_researched,,
school_district,1721000,IL,Kewanee Community Unit School District 229,unified_school_district,2025,researchable,not_researched,,
school_district,1721030,IL,Kildeer Countryside Community Consolidated School District 96,elementary_school_district,2025,researchable,not_researched,,
school_district,1721130,IL,Kings Consolidated School District 144,elementary_school_district,2025,researchable,not_researched,,
school_district,1721180,IL,Kinnikinnick Community Consolidated School District 131,elementary_school_district,2025,researchable,not_researched,,
school_district,1721270,IL,Kirby School District 140,elementary_school_district,2025,researchable,not_researched,,
school_district,1721300,IL,Hiawatha Community Unit School District 426,unified_school_district,2025,researchable,not_researched,,
school_district,1721390,IL,Knoxville Community Unit School District 202,unified_school_district,2025,researchable,not_researched,,
school_district,1721420,IL,Komarek School District 94,elementary_school_district,2025,researchable,not_researched,,
school_district,1721450,IL,Darien School District 61,elementary_school_district,2025,researchable,not_researched,,
school_district,1721510,IL,Ladd Community Consolidated School District 94,elementary_school_district,2025,researchable,not_researched,,
school_district,1721600,IL,LaGrange School District 102,elementary_school_district,2025,researchable,not_researched,,
school_district,1721630,IL,LaGrange School District 105,elementary_school_district,2025,researchable,not_researched,,
school_district,1721680,IL,La Moille Community Unit School District 303,unified_school_district,2025,researchable,not_researched,,
school_district,1721720,IL,Lake Bluff Elementary School District 65,elementary_school_district,2025,researchable,not_researched,,
school_district,1721750,IL,Lake Forest School District 67,elementary_school_district,2025,researchable,not_researched,,
school_district,1721780,IL,Lake Forest Community High School District 115,secondary_school_district,2025,researchable,not_researched,,
school_district,1721840,IL,Lake Park Community High School District 108,secondary_school_district,2025,researchable,not_researched,,
school_district,1721870,IL,Lake Villa Community Consolidated School District 41,elementary_school_district,2025,researchable,not_researched,,
school_district,1721900,IL,Lake Zurich Community Unit School District 95,unified_school_district,2025,researchable,not_researched,,
school_district,1722020,IL,Lansing School District 158,elementary_school_district,2025,researchable,not_researched,,
school_district,1722050,IL,Laraway Community Consolidated School District 70C,elementary_school_district,2025,researchable,not_researched,,
school_district,1722080,IL,LaSalle Elementary School District 122,elementary_school_district,2025,researchable,not_researched,,
school_district,1722110,IL,LaSalle-Peru Township High School District 120,secondary_school_district,2025,researchable,not_researched,,
school_district,1722130,IL,Red Hill Community Unit School District 10,unified_school_district,2025,researchable,not_researched,,
school_district,1722150,IL,Lawrence County Community Unit District 20,unified_school_district,2025,researchable,not_researched,,
school_district,1722300,IL,Lebanon Community Unit School District 9,unified_school_district,2025,researchable,not_researched,,
school_district,1722350,IL,Paw Paw CUSD 271,unified_school_district,2025,researchable,not_researched,,
school_district,1722500,IL,Lemont Township High School District 210,secondary_school_district,2025,researchable,not_researched,,
school_district,1722530,IL,Lena-Winslow Community Unit School District 202,unified_school_district,2025,researchable,not_researched,,
school_district,1722620,IL,Le Roy Community Unit School District 2,unified_school_district,2025,researchable,not_researched,,
school_district,1722710,IL,Lexington Community Unit School District 7,unified_school_district,2025,researchable,not_researched,,
school_district,1722740,IL,Leyden Community High School District 212,secondary_school_district,2025,researchable,not_researched,,
school_district,1722770,IL,Liberty Community Unit School District 2,unified_school_district,2025,researchable,not_researched,,
school_district,1722800,IL,Libertyville School District 70,elementary_school_district,2025,researchable,not_researched,,
school_district,1722830,IL,Libertyville Community High School District 128,secondary_school_district,2025,researchable,not_researched,,
school_district,1722860,IL,Lick Creek Community Consolidated School District 16,elementary_school_district,2025,researchable,not_researched,,
school_district,1722870,IL,Leland Community Unit School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,1722920,IL,Limestone Walters Community Consolidated School District 316,elementary_school_district,2025,researchable,not_researched,,
school_district,1722950,IL,Limestone Community High School District 310,secondary_school_district,2025,researchable,not_researched,,
school_district,1722980,IL,Lincoln Elementary School District 27,elementary_school_district,2025,researchable,not_researched,,
school_district,1723050,IL,Lincoln Community High School District 404,secondary_school_district,2025,researchable,not_researched,,
school_district,1723070,IL,Lincoln Way Community High School District 210,secondary_school_district,2025,researchable,not_researched,,
school_district,1723090,IL,Lincolnshire-Prairieview School District 103,elementary_school_district,2025,researchable,not_researched,,
school_district,1723100,IL,Lincolnwood School District 74,elementary_school_district,2025,researchable,not_researched,,
school_district,1723160,IL,Lisbon Community Consolidated School District 90,elementary_school_district,2025,researchable,not_researched,,
school_district,1723200,IL,Lisle Community Unit School District 202,unified_school_district,2025,researchable,not_researched,,
school_district,1723250,IL,Litchfield Community Unit School District 12,unified_school_district,2025,researchable,not_researched,,
school_district,1723350,IL,Lockport Township High School District 205,secondary_school_district,2025,researchable,not_researched,,
school_district,1723460,IL,Lombard School District 44,elementary_school_district,2025,researchable,not_researched,,
school_district,1723640,IL,Brooklyn Community Unit School District 188,unified_school_district,2025,researchable,not_researched,,
school_district,1723700,IL,Ludlow Community Consolidated School District 142,elementary_school_district,2025,researchable,not_researched,,
school_district,1723730,IL,Will County School District 92,elementary_school_district,2025,researchable,not_researched,,
school_district,1723850,IL,Lyons School District 103,elementary_school_district,2025,researchable,not_researched,,
school_district,1723880,IL,Lyons Township High School District 204,secondary_school_district,2025,researchable,not_researched,,
school_district,1723920,IL,Macomb Community Unit School District 185,unified_school_district,2025,researchable,not_researched,,
school_district,1723970,IL,Madison Community Unit School District 12,unified_school_district,2025,researchable,not_researched,,
school_district,1724000,IL,Maercker School District 60,elementary_school_district,2025,researchable,not_researched,,
school_district,1724060,IL,Mahomet-Seymour Community Unit School District 3,unified_school_district,2025,researchable,not_researched,,
school_district,1724090,IL,Maine Township High School District 207,secondary_school_district,2025,researchable,not_researched,,
school_district,1724120,IL,Malden Community Consolidated School District 84,elementary_school_district,2025,researchable,not_researched,,
school_district,1724270,IL,Manhattan School District 114,elementary_school_district,2025,researchable,not_researched,,
school_district,1724330,IL,Mannheim School District 83,elementary_school_district,2025,researchable,not_researched,,
school_district,1724390,IL,Manteno Community Unit School District 5,unified_school_district,2025,researchable,not_researched,,
school_district,1724420,IL,Northbrook/Glenview School District 30,elementary_school_district,2025,researchable,not_researched,,
school_district,1724480,IL,Kaneland Community Unit School District 302,unified_school_district,2025,researchable,not_researched,,
school_district,1724570,IL,Marengo Community High School District 154,secondary_school_district,2025,researchable,not_researched,,
school_district,1724600,IL,Marion Community Unit School District 2,unified_school_district,2025,researchable,not_researched,,
school_district,1724650,IL,Marissa Community Unit School District 40,unified_school_district,2025,researchable,not_researched,,
school_district,1724720,IL,Prairie-Hills Elementary School District 144,elementary_school_district,2025,researchable,not_researched,,
school_district,1724750,IL,Maroa-Forsyth Community Unit School District 2,unified_school_district,2025,researchable,not_researched,,
school_district,1724780,IL,Marquardt School District 15,elementary_school_district,2025,researchable,not_researched,,
school_district,1724870,IL,Marshall Community Unit School District 2C,unified_school_district,2025,researchable,not_researched,,
school_district,1724900,IL,Martinsville Community Unit School District 3C,unified_school_district,2025,researchable,not_researched,,
school_district,1724940,IL,Mascoutah Community Unit School District 19,unified_school_district,2025,researchable,not_researched,,
school_district,1725000,IL,Massac Unit School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,1725020,IL,Matteson Elementary School District 162,elementary_school_district,2025,researchable,not_researched,,
school_district,1725050,IL,Mattoon Community Unit School District 2,unified_school_district,2025,researchable,not_researched,,
