entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,2000001,KS,Southeast of Saline Unified School District 306,unified_school_district,2025,researchable,not_researched,,
school_district,2000002,KS,Smoky Valley Unified School District 400,unified_school_district,2025,researchable,not_researched,,
school_district,2000003,KS,Wamego Unified School District 320,unified_school_district,2025,researchable,not_researched,,
school_district,2000004,KS,Rock Creek Unified School District 323,unified_school_district,2025,researchable,not_researched,,
school_district,2000006,KS,Hiawatha Unified School District 415,unified_school_district,2025,researchable,not_researched,,
school_district,2000007,KS,Smith Center Unified School District 237,unified_school_district,2025,researchable,not_researched,,
school_district,2000012,KS,Barnes Unified School District 223,unified_school_district,2025,researchable,not_researched,,
school_district,2000013,KS,Triplains Unified School District 275,unified_school_district,2025,researchable,not_researched,,
school_district,2000014,KS,Central Heights Unified School District 288,unified_school_district,2025,researchable,not_researched,,
school_district,2000015,KS,Ottawa Unified School District 290,unified_school_district,2025,researchable,not_researched,,
school_district,2000016,KS,Marysville Unified School District 364,unified_school_district,2025,researchable,not_researched,,
school_district,2000017,KS,Scott County Unified School District 466,unified_school_district,2025,researchable,not_researched,,
school_district,2000020,KS,Western Plains Unified School District 106,unified_school_district,2025,researchable,not_researched,,
school_district,2000023,KS,Rawlins County Unified School District 105,unified_school_district,2025,researchable,not_researched,,
school_district,2000028,KS,Washington Co. Schools Unified School District 108,unified_school_district,2025,researchable,not_researched,,
school_district,2000029,KS,Rock Hills Unified School District 107,unified_school_district,2025,researchable,not_researched,,
school_district,2000030,KS,Republic County-Hillcrest Rural Schools Unified School District 109,unified_school_district,2025,researchable,not_researched,,
school_district,2000346,KS,Thunder Ridge Unified School District 110,unified_school_district,2025,researchable,not_researched,,
school_district,2000348,KS,Doniphan West Unified School District 111,unified_school_district,2025,researchable,not_researched,,
school_district,2000349,KS,Central Plains Unified School District 112,unified_school_district,2025,researchable,not_researched,,
school_district,2000350,KS,Prairie Hills Unified School District 113,unified_school_district,2025,researchable,not_researched,,
school_district,2000351,KS,Riverside Unified School District 114,unified_school_district,2025,researchable,not_researched,,
school_district,2000353,KS,Nemaha Unified School District 115,unified_school_district,2025,researchable,not_researched,,
school_district,2003180,KS,Abilene Unified School District 435,unified_school_district,2025,researchable,not_researched,,
school_district,2003200,KS,Auburn-Washburn Unified School District 437,unified_school_district,2025,researchable,not_researched,,
school_district,2003210,KS,North Lyon County Unified School District 251,unified_school_district,2025,researchable,not_researched,,
school_district,2003240,KS,Wabaunsee Unified School District 329,unified_school_district,2025,researchable,not_researched,,
school_district,2003270,KS,Northern Valley Unified School District 212,unified_school_district,2025,researchable,not_researched,,
school_district,2003300,KS,Labette County Unified School District 506,unified_school_district,2025,researchable,not_researched,,
school_district,2003360,KS,Andover Unified School District 385,unified_school_district,2025,researchable,not_researched,,
school_district,2003390,KS,Chaparral Schools Unified School District 361,unified_school_district,2025,researchable,not_researched,,
school_district,2003430,KS,Argonia Public Schools Unified School District 359,unified_school_district,2025,researchable,not_researched,,
school_district,2003450,KS,Arkansas City Unified School District 470,unified_school_district,2025,researchable,not_researched,,
school_district,2003480,KS,Northeast Unified School District 246,unified_school_district,2025,researchable,not_researched,,
school_district,2003510,KS,Ashland Unified School District 220,unified_school_district,2025,researchable,not_researched,,
school_district,2003540,KS,Atchison Public Schools Unified School District 409,unified_school_district,2025,researchable,not_researched,,
school_district,2003570,KS,Attica Unified School District 511,unified_school_district,2025,researchable,not_researched,,
school_district,2003630,KS,Augusta Unified School District 402,unified_school_district,2025,researchable,not_researched,,
school_district,2003720,KS,Baldwin City Unified School District 348,unified_school_district,2025,researchable,not_researched,,
school_district,2003780,KS,Basehor-Linwood Unified School District 458,unified_school_district,2025,researchable,not_researched,,
school_district,2003810,KS,Baxter Springs Unified School District 508,unified_school_district,2025,researchable,not_researched,,
