entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,2400030,MD,Allegany County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400060,MD,Anne Arundel County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400090,MD,Baltimore City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400120,MD,Baltimore County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400150,MD,Calvert County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400180,MD,Caroline County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400210,MD,Carroll County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400240,MD,Cecil County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400270,MD,Charles County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400300,MD,Dorchester County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400330,MD,Frederick County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400360,MD,Garrett County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400390,MD,Harford County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400420,MD,Howard County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400450,MD,Kent County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400480,MD,Montgomery County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400510,MD,Prince George's County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400540,MD,Queen Annes County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400570,MD,Somerset County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400600,MD,St. Marys County Public Schools,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,2400630,MD,Talbot County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400660,MD,Washington County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400690,MD,Wicomico County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2400720,MD,Worcester County Public Schools,unified_school_district,2025,researchable,not_researched,,
