entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,2300004,ME,Bridgewater,unified_school_district,2025,researchable,not_researched,,
school_district,2300005,ME,Grand Isle,unified_school_district,2025,researchable,not_researched,,
school_district,2300008,ME,Fayette,unified_school_district,2025,researchable,not_researched,,
school_district,2300009,ME,Long Island,unified_school_district,2025,researchable,not_researched,,
school_district,2300052,ME,The Forks Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2300053,ME,Five Town Community School District,secondary_school_district,2025,researchable,not_researched,,
school_district,2300057,ME,Seboeis Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2300058,ME,West Forks Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2300059,ME,Lake View Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2300061,ME,Caratunk,unified_school_district,2025,researchable,not_researched,,
school_district,2300062,ME,East Machias,unified_school_district,2025,researchable,not_researched,,
school_district,2300063,ME,Lowell,unified_school_district,2025,researchable,not_researched,,
school_district,2300064,ME,Indian Township,unified_school_district,2025,researchable,not_researched,,
school_district,2300065,ME,Cutler,unified_school_district,2025,researchable,not_researched,,
school_district,2300066,ME,Indian Island,unified_school_district,2025,researchable,not_researched,,
school_district,2300067,ME,Machiasport,unified_school_district,2025,researchable,not_researched,,
school_district,2300068,ME,Whiting,unified_school_district,2025,researchable,not_researched,,
school_district,2300069,ME,Pleasant Point,unified_school_district,2025,researchable,not_researched,,
school_district,2302220,ME,Acton,unified_school_district,2025,researchable,not_researched,,
school_district,2302280,ME,Alexander,unified_school_district,2025,researchable,not_researched,,
school_district,2302500,ME,Airline Community School District,unified_school_district,2025,researchable,not_researched,,
school_district,2302510,ME,Appleton,elementary_school_district,2025,researchable,not_researched,,
school_district,2302610,ME,Auburn,unified_school_district,2025,researchable,not_researched,,
school_district,2302640,ME,Augusta,unified_school_district,2025,researchable,not_researched,,
school_district,2302730,ME,Baileyville,unified_school_district,2025,researchable,not_researched,,
school_district,2302820,ME,Bangor,unified_school_district,2025,researchable,not_researched,,
school_district,2302850,ME,Bar Harbor,elementary_school_district,2025,researchable,not_researched,,
school_district,2302880,ME,Baring Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2302950,ME,Beals,elementary_school_district,2025,researchable,not_researched,,
school_district,2302960,ME,Beaver Cove,unified_school_district,2025,researchable,not_researched,,
school_district,2302980,ME,Beddington,unified_school_district,2025,researchable,not_researched,,
school_district,2303150,ME,Biddeford,unified_school_district,2025,researchable,not_researched,,
school_district,2303210,ME,Blue Hill,unified_school_district,2025,researchable,not_researched,,
school_district,2303290,ME,Boothbay-Boothbay Harbor Community School District,unified_school_district,2025,researchable,not_researched,,
school_district,2303390,ME,Bowerbank,unified_school_district,2025,researchable,not_researched,,
school_district,2303480,ME,Bremen,secondary_school_district,2025,researchable,not_researched,,
school_district,2303510,ME,Brewer,unified_school_district,2025,researchable,not_researched,,
school_district,2303600,ME,Bristol,unified_school_district,2025,researchable,not_researched,,
school_district,2303610,ME,Brooklin,unified_school_district,2025,researchable,not_researched,,
school_district,2303640,ME,Brooksville,unified_school_district,2025,researchable,not_researched,,
school_district,2303780,ME,Brunswick,unified_school_district,2025,researchable,not_researched,,
school_district,2303870,ME,Calais,unified_school_district,2025,researchable,not_researched,,
school_district,2303930,ME,Cape Elizabeth,unified_school_district,2025,researchable,not_researched,,
school_district,2303980,ME,Carrabassett Valley,unified_school_district,2025,researchable,not_researched,,
school_district,2303990,ME,Carroll Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2304080,ME,Castine,unified_school_district,2025,researchable,not_researched,,
school_district,2304110,ME,Caswell,unified_school_district,2025,researchable,not_researched,,
school_district,2304160,ME,Charlotte,unified_school_district,2025,researchable,not_researched,,
school_district,2304440,ME,Cooper,unified_school_district,2025,researchable,not_researched,,
school_district,2304500,ME,Coplin Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2304620,ME,Cranberry Isles,unified_school_district,2025,researchable,not_researched,,
school_district,2304650,ME,Crawford,unified_school_district,2025,researchable,not_researched,,
school_district,2304830,ME,Damariscotta,secondary_school_district,2025,researchable,not_researched,,
school_district,2304860,ME,Dayton Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2304880,ME,Deblois,unified_school_district,2025,researchable,not_researched,,
school_district,2304890,ME,Dedham,unified_school_district,2025,researchable,not_researched,,
school_district,2304895,ME,Deer Isle-Stonington Community School District,unified_school_district,2025,researchable,not_researched,,
school_district,2304897,ME,Dennistown Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2304900,ME,Dennysville,unified_school_district,2025,researchable,not_researched,,
school_district,2305280,ME,East Millinocket,unified_school_district,2025,researchable,not_researched,,
school_district,2305310,ME,Easton,unified_school_district,2025,researchable,not_researched,,
school_district,2305360,ME,Eastport,unified_school_district,2025,researchable,not_researched,,
school_district,2305380,ME,East Range Community School District,elementary_school_district,2025,researchable,not_researched,,
school_district,2305400,ME,Edgecomb,unified_school_district,2025,researchable,not_researched,,
school_district,2305500,ME,Ellsworth Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2305670,ME,Falmouth,unified_school_district,2025,researchable,not_researched,,
school_district,2305970,ME,Georgetown,unified_school_district,2025,researchable,not_researched,,
school_district,2305980,ME,Gilead,unified_school_district,2025,researchable,not_researched,,
school_district,2306000,ME,Glenburn,unified_school_district,2025,researchable,not_researched,,
school_district,2306030,ME,Glenwood Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2306060,ME,Gorham,unified_school_district,2025,researchable,not_researched,,
school_district,2306150,ME,Great Lake Stream Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2306160,ME,Great Salt Bay Community School District,elementary_school_district,2025,researchable,not_researched,,
school_district,2306180,ME,Greenbush,unified_school_district,2025,researchable,not_researched,,
school_district,2306250,ME,Greenville,unified_school_district,2025,researchable,not_researched,,
school_district,2306260,ME,Hancock Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2306330,ME,Harmony,unified_school_district,2025,researchable,not_researched,,
school_district,2306510,ME,Hermon,unified_school_district,2025,researchable,not_researched,,
school_district,2306600,ME,Highland Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2306610,ME,Hope,elementary_school_district,2025,researchable,not_researched,,
school_district,2306780,ME,Isle au Haut,unified_school_district,2025,researchable,not_researched,,
school_district,2306810,ME,Islesboro,unified_school_district,2025,researchable,not_researched,,
school_district,2306870,ME,Jefferson,unified_school_district,2025,researchable,not_researched,,
school_district,2306900,ME,Jonesboro,unified_school_district,2025,researchable,not_researched,,
school_district,2307100,ME,Jonesport,elementary_school_district,2025,researchable,not_researched,,
school_district,2307110,ME,Kingsbury Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2307140,ME,Kittery,unified_school_district,2025,researchable,not_researched,,
school_district,2307200,ME,Lakeville,unified_school_district,2025,researchable,not_researched,,
school_district,2307250,ME,Lamoine Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2307320,ME,Lewiston,unified_school_district,2025,researchable,not_researched,,
school_district,2307440,ME,Lincoln Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2307450,ME,Lincolnville,elementary_school_district,2025,researchable,not_researched,,
school_district,2307530,ME,Lisbon,unified_school_district,2025,researchable,not_researched,,
school_district,2307590,ME,Frenchboro,unified_school_district,2025,researchable,not_researched,,
school_district,2307710,ME,Machias,unified_school_district,2025,researchable,not_researched,,
school_district,2307770,ME,Macwahoc Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2307800,ME,Madawaska,unified_school_district,2025,researchable,not_researched,,
school_district,2307980,ME,Marshfield,unified_school_district,2025,researchable,not_researched,,
school_district,2308135,ME,Meddybemps,unified_school_district,2025,researchable,not_researched,,
school_district,2308140,ME,Medford,unified_school_district,2025,researchable,not_researched,,
school_district,2308160,ME,Medway,unified_school_district,2025,researchable,not_researched,,
school_district,2308250,ME,Milford,unified_school_district,2025,researchable,not_researched,,
school_district,2308280,ME,Millinocket,unified_school_district,2025,researchable,not_researched,,
school_district,2308340,ME,Monhegan Plantation,unified_school_district,2025,researchable,not_researched,,
school_district,2308400,ME,Moosabec Community School District,secondary_school_district,2025,researchable,not_researched,,
school_district,2308490,ME,Mount Desert,elementary_school_district,2025,researchable,not_researched,,
