entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,2930270,MO,Thayer R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930300,MO,Tina-Avalon R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930330,MO,Tipton R-VI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930360,MO,Trenton R-IX School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930390,MO,Tri-County R-VII School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930420,MO,East Newton County R-VI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930450,MO,Troy R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930510,MO,Miller County R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930520,MO,Twin Rivers R-X School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930570,MO,Union R-XI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930600,MO,Union Star R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930660,MO,University City School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930690,MO,Valley Park School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930720,MO,Valley R-VI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930750,MO,Van Buren R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930780,MO,Van-Far R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930810,MO,Verona R-VII School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930840,MO,Morgan County R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930870,MO,Maries County R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930900,MO,West Nodaway County R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2930990,MO,Walnut Grove R-V School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931020,MO,Warrensburg R-VI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931050,MO,Warren County R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931070,MO,Warsaw R-IX School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931110,MO,Washington School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931140,MO,Kingston K-14 School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931230,MO,Richwoods R-VII School District,elementary_school_district,2025,researchable,not_researched,,
school_district,2931440,MO,Waynesville R-VI Schools,unified_school_district,2025,researchable,not_researched,,
school_district,2931460,MO,Weaubleau R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931500,MO,Webb City R-VII School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931530,MO,Webster Groves School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931560,MO,Wellington-Napoleon R-IX School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931620,MO,Wellsville-Middletown R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931650,MO,Wentzville R-IV School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931680,MO,West Plains R-VII School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931710,MO,West Platte County R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931800,MO,Midway R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931830,MO,Osage County R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931860,MO,Westran R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931890,MO,Westview C-6 School District,elementary_school_district,2025,researchable,not_researched,,
school_district,2931920,MO,Wheatland R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2931950,MO,Wheaton R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932010,MO,Willard R-II School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932070,MO,Willow Springs R-IV School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932100,MO,Windsor C-1 School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932110,MO,Henry County R-I School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932190,MO,Winfield R-IV School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932220,MO,Winona R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932250,MO,Winston R-VI School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932300,MO,Worth County R-III School District,unified_school_district,2025,researchable,not_researched,,
school_district,2932310,MO,Wright City R-II of Warren County,unified_school_district,2025,researchable,not_researched,,
school_district,2932490,MO,Zalma R-V School District,unified_school_district,2025,researchable,not_researched,,
