entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,3300003,NH,John Stark Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3300017,NH,Exeter Regional Cooperative School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3300035,NH,Gorham Randolph Shelburne Cooperative School District,unified_school_district,2025,researchable,not_researched,,
school_district,3300049,NH,Prospect Mountain High School Joint Maintenance Agreement District,secondary_school_district,2025,researchable,not_researched,,
school_district,3300616,NH,Milton School District,unified_school_district,2025,researchable,not_researched,,
school_district,3301350,NH,Albany School District,unified_school_district,2025,researchable,not_researched,,
school_district,3301380,NH,Allenstown School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301440,NH,Alton School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301470,NH,Amherst School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301500,NH,Andover School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301560,NH,Ashland School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301590,NH,Auburn School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301620,NH,Barnstead School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301650,NH,Barrington School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301680,NH,Bartlett School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301710,NH,Bath School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301740,NH,Bedford School District,unified_school_district,2025,researchable,not_researched,,
school_district,3301830,NH,Benton School District,unified_school_district,2025,researchable,not_researched,,
school_district,3301860,NH,Berlin School District,unified_school_district,2025,researchable,not_researched,,
school_district,3301890,NH,Bethlehem School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3301950,NH,Bow School District,unified_school_district,2025,researchable,not_researched,,
school_district,3302010,NH,Brentwood School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3302070,NH,Brookline School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3302100,NH,Campton School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3302130,NH,Candia School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3302200,NH,Chatham School District,unified_school_district,2025,researchable,not_researched,,
school_district,3302250,NH,Chester School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3302280,NH,Chesterfield School District,elementary_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,3302310,NH,Chichester School District,elementary_school_district,2025,researchable,not_researched,,
