entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,3410020,NJ,Middle Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410050,NJ,Middlesex Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410110,NJ,Middletown Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410140,NJ,Midland Park Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410170,NJ,Milford Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3410200,NJ,Millburn Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410230,NJ,Millstone Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410290,NJ,Milltown Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410320,NJ,Millville City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410350,NJ,Mine Hill Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410380,NJ,Monmouth Beach Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3410440,NJ,Monmouth Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3410470,NJ,Monroe Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410500,NJ,Monroe Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410530,NJ,Montague Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410560,NJ,Montclair Town School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410590,NJ,Montgomery Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410620,NJ,Montvale Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3410650,NJ,Montville Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410680,NJ,Moonachie Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410710,NJ,Moorestown Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410740,NJ,Morris Hills Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3410770,NJ,Morris Plains Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410810,NJ,Morris Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410860,NJ,Mount Arlington Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410890,NJ,Mount Ephraim Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3410920,NJ,Mount Holly Township School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3410950,NJ,Mount Laurel Township School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3410980,NJ,Mount Olive Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411010,NJ,Mountain Lakes Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411040,NJ,Mountainside Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411070,NJ,Mullica Township School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411100,NJ,National Park Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411130,NJ,Neptune City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411160,NJ,Neptune Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411190,NJ,Netcong Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411220,NJ,New Brunswick City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411250,NJ,New Hanover Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411280,NJ,New Milford Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411310,NJ,New Providence Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411340,NJ,Newark City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411370,NJ,Newfield Elementary School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411400,NJ,Newton Town School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411430,NJ,North Arlington Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411460,NJ,North Bergen Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411490,NJ,North Brunswick Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411520,NJ,North Caldwell Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411550,NJ,North Haledon Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411580,NJ,North Hanover Township School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411610,NJ,North Hunterdon-Voorhees Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3411640,NJ,North Plainfield Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411670,NJ,North Wildwood City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411700,NJ,Northern Burlington Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3411730,NJ,Northern Highlands Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3411760,NJ,Northern Valley Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3411790,NJ,Northfield City School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411820,NJ,Northvale Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411850,NJ,Norwood Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411880,NJ,Nutley Town School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411910,NJ,Oakland Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3411940,NJ,Oaklyn Borough School District,unified_school_district,2025,researchable,not_researched,,
school_district,3411970,NJ,Ocean City School District,unified_school_district,2025,researchable,not_researched,,
school_district,3412030,NJ,Ocean Gate Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3412060,NJ,Ocean Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3412090,NJ,Ocean Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3412120,NJ,Oceanport Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3412150,NJ,Ogdensburg Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3412180,NJ,Old Tappan Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3412210,NJ,Oldmans Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3412240,NJ,Oradell Borough School District,elementary_school_district,2025,researchable,not_researched,,
school_district,3412260,NJ,River Dell Regional School District,secondary_school_district,2025,researchable,not_researched,,
school_district,3412270,NJ,Orange City Township School District,unified_school_district,2025,researchable,not_researched,,
school_district,3412300,NJ,Oxford Township School District,unified_school_district,2025,researchable,not_researched,,
