entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,4010050,OK,Dover Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010170,OK,Drummond Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010200,OK,Drumright Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010260,OK,Duke Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010290,OK,Duncan Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010350,OK,Durant Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010440,OK,Eagletown Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010500,OK,Earlsboro Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010560,OK,Peavine Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4010590,OK,Edmond Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010650,OK,El Reno Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010710,OK,Elgin Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010740,OK,Elk City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010860,OK,Elmore City-Pernell Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010890,OK,Empire Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4010920,OK,Enid Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011040,OK,Erick Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011160,OK,Eufaula Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011250,OK,Fairland Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011280,OK,Fairview Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011400,OK,Fanshawe Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4011430,OK,Fargo Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011580,OK,Felt Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011700,OK,Fletcher Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011760,OK,Flower Mound Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4011850,OK,Forest Grove Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4011880,OK,Forgan Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4011970,OK,Fort Gibson Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012000,OK,Fort Supply Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012060,OK,Fox Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012090,OK,Foyil Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012150,OK,Frederick Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012180,OK,Freedom Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012210,OK,Friend Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4012240,OK,Frink-Chambers Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4012300,OK,Fort Towson Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012390,OK,Gans Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012420,OK,Garber Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012570,OK,Geary Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012630,OK,Geronimo Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012690,OK,Glencoe Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012720,OK,Glenpool Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012750,OK,Glover Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4012870,OK,Goodwell Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4012900,OK,Gore Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013080,OK,Gracemont Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013200,OK,Grandfield Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013230,OK,Grand View Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4013260,OK,Grandview Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4013290,OK,Granite Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013500,OK,Grove Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4013530,OK,Grove Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013560,OK,Guthrie Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013590,OK,Guymon Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013600,OK,Gypsy Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4013620,OK,Haileyville Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013650,OK,Hammon Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013680,OK,Hanna Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013740,OK,Hardesty Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013830,OK,Harmony Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4013890,OK,Harrah Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013920,OK,Hartshorne Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4013950,OK,Haskell Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014080,OK,Haworth Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014100,OK,Haywood Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4014130,OK,Healdton Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014160,OK,Heavener Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014340,OK,Hennessey Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014370,OK,Henryetta Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014520,OK,Hilldale Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014610,OK,Hinton Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014670,OK,Midway Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014700,OK,Hobart Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014730,OK,Hodgen Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4014790,OK,Holdenville Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014850,OK,Hollis Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4014890,OK,Holly Creek Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4014970,OK,Hominy Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015090,OK,Hooker Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015120,OK,Howe Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015210,OK,Hugo Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015240,OK,Hulbert Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015370,OK,Idabel Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015420,OK,Indiahoma Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015450,OK,Indianola Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015480,OK,Inola Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015690,OK,Jay Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015720,OK,Jenks Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015750,OK,Jennings Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4015840,OK,Jones Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4015900,OK,Justice Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4015930,OK,Justus-Tiawah Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4015990,OK,Kansas Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016170,OK,Kellyville Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016320,OK,Kenwood Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4016350,OK,Keota Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016380,OK,Ketchum Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016470,OK,Keystone Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4016500,OK,Kiefer Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016530,OK,Kildare Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4016560,OK,Kingfisher Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016590,OK,Kingston Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016620,OK,Kinta Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016650,OK,Kiowa Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016710,OK,Konawa Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4016720,OK,Krebs Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4016740,OK,Kremlin-Hillsdale Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017020,OK,Deer Creek-Lamont Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017040,OK,Lane Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4017190,OK,Latta Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017220,OK,Laverne Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017250,OK,Lawton Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017280,OK,LeFlore Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017310,OK,Leach Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4017370,OK,Leedey Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017580,OK,Lexington Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017700,OK,Liberty Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4017760,OK,Liberty Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017850,OK,Lindsay Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4017880,OK,Little Axe Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018000,OK,Locust Grove Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018090,OK,Lone Grove Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018240,OK,Lone Star Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018270,OK,Lone Wolf Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018390,OK,Lookeba-Sickles Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018480,OK,Lowrey Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018570,OK,Lukfata Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018630,OK,Luther Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018660,OK,Macomb Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018700,OK,Madill Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018780,OK,Mangum Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018840,OK,Mannford Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4018870,OK,Mannsville Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018900,OK,Maple Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018960,OK,Marble City Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4018990,OK,Marietta Public School,unified_school_district,2025,researchable,not_researched,,
school_district,4019080,OK,Marlow Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019200,OK,Maryetta Public Schools,elementary_school_district,2025,researchable,not_researched,,
school_district,4019260,OK,Mason Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019290,OK,Maud Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019380,OK,Maysville Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019410,OK,McCurtain Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019440,OK,McAlester Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019500,OK,McCord Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4019560,OK,McLoud Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019620,OK,Medford Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019680,OK,Meeker Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019800,OK,Merritt Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019860,OK,Miami Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019890,OK,Middleberg Public School,elementary_school_district,2025,researchable,not_researched,,
school_district,4019950,OK,Midwest City-Del City Schools,unified_school_district,2025,researchable,not_researched,,
school_district,4019980,OK,Milburn Public Schools,unified_school_district,2025,researchable,not_researched,,
