entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,4100003,OR,Falls City School District 57,unified_school_district,2025,researchable,not_researched,,
school_district,4100014,OR,Vale School District 84,unified_school_district,2025,researchable,not_researched,,
school_district,4100015,OR,Gervais School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,4100016,OR,Yamhill-Carlton School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,4100019,OR,Harrisburg School District 7J,unified_school_district,2025,researchable,not_researched,,
school_district,4100020,OR,North Santiam School District 29J,unified_school_district,2025,researchable,not_researched,,
school_district,4100021,OR,South Wasco County School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,4100023,OR,Hillsboro School District 1J,unified_school_district,2025,researchable,not_researched,,
school_district,4100040,OR,Knappa School District 4,unified_school_district,2025,researchable,not_researched,,
school_district,4100047,OR,Ione School District 2,unified_school_district,2025,researchable,not_researched,,
school_district,4100048,OR,North Wasco School District 21,unified_school_district,2025,researchable,not_researched,,
school_district,4100640,OR,Myrtle Point School District 41,unified_school_district,2025,researchable,not_researched,,
school_district,4100990,OR,Adel School District 21,unified_school_district,2025,researchable,not_researched,,
school_district,4101020,OR,Adrian School District 61,unified_school_district,2025,researchable,not_researched,,
school_district,4101120,OR,Greater Albany School District 8J,unified_school_district,2025,researchable,not_researched,,
school_district,4101200,OR,Alsea School District 7J,unified_school_district,2025,researchable,not_researched,,
school_district,4101230,OR,Amity School District 4J,unified_school_district,2025,researchable,not_researched,,
school_district,4101350,OR,Annex School District 29,unified_school_district,2025,researchable,not_researched,,
school_district,4101470,OR,Arlington School District 3,unified_school_district,2025,researchable,not_researched,,
school_district,4101500,OR,Arock School District 81,unified_school_district,2025,researchable,not_researched,,
school_district,4101560,OR,Ashland School District 5,unified_school_district,2025,researchable,not_researched,,
school_district,4101590,OR,Ashwood School District 8,unified_school_district,2025,researchable,not_researched,,
school_district,4101620,OR,Astoria School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,4101660,OR,Athena-Weston School District 29J,unified_school_district,2025,researchable,not_researched,,
school_district,4101710,OR,Baker School District 5J,unified_school_district,2025,researchable,not_researched,,
school_district,4101740,OR,Burnt River School District 30J,unified_school_district,2025,researchable,not_researched,,
school_district,4101800,OR,Bandon School District 54,unified_school_district,2025,researchable,not_researched,,
school_district,4101830,OR,Banks School District 13,unified_school_district,2025,researchable,not_researched,,
school_district,4101920,OR,Beaverton School District 48J,unified_school_district,2025,researchable,not_researched,,
school_district,4101980,OR,Bend-La Pine Administrative School District 1,unified_school_district,2025,researchable,not_researched,,
school_district,4102040,OR,Bethel School District 52,unified_school_district,2025,researchable,not_researched,,
school_district,4102160,OR,Blachly School District 090,unified_school_district,2025,researchable,not_researched,,
school_district,4102190,OR,Black Butte School District 41,unified_school_district,2025,researchable,not_researched,,
school_district,4102310,OR,Brookings-Harbor School District 17,unified_school_district,2025,researchable,not_researched,,
school_district,4102490,OR,Harney County School District 3,unified_school_district,2025,researchable,not_researched,,
school_district,4102580,OR,Butte Falls School District 91,unified_school_district,2025,researchable,not_researched,,
school_district,4102610,OR,Camas Valley School District 21J,unified_school_district,2025,researchable,not_researched,,
school_district,4102640,OR,Canby School District 86,unified_school_district,2025,researchable,not_researched,,
school_district,4102780,OR,Cascade School District 5,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,4102800,OR,Centennial School District 28J,unified_school_district,2025,researchable,not_researched,,
school_district,4102840,OR,Central School District 13J,unified_school_district,2025,researchable,not_researched,,
school_district,4102910,OR,Central Linn School District 552,unified_school_district,2025,researchable,not_researched,,
school_district,4102940,OR,Central Point School District 6,unified_school_district,2025,researchable,not_researched,,
school_district,4103260,OR,Clatskanie School District 6J,unified_school_district,2025,researchable,not_researched,,
school_district,4103265,OR,Rainier School District 13,unified_school_district,2025,researchable,not_researched,,
school_district,4103270,OR,Colton School District 53,unified_school_district,2025,researchable,not_researched,,
school_district,4103330,OR,Condon School District 25J,unified_school_district,2025,researchable,not_researched,,
school_district,4103390,OR,Coquille School District 8,unified_school_district,2025,researchable,not_researched,,
school_district,4103420,OR,Corbett School District 39,unified_school_district,2025,researchable,not_researched,,
school_district,4103480,OR,Corvallis School District 509J,unified_school_district,2025,researchable,not_researched,,
school_district,4103540,OR,Cove School District 15,unified_school_district,2025,researchable,not_researched,,
school_district,4103600,OR,Harney County School District 4,elementary_school_district,2025,researchable,not_researched,,
school_district,4103630,OR,Harney County Union High School District 1J,secondary_school_district,2025,researchable,not_researched,,
school_district,4103660,OR,Coos Bay School District 9,unified_school_district,2025,researchable,not_researched,,
school_district,4103690,OR,Creswell School District 40,unified_school_district,2025,researchable,not_researched,,
school_district,4103720,OR,Crook County School District,unified_school_district,2025,researchable,not_researched,,
