entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,4620100,SD,Eagle Butte School District 20-1,unified_school_district,2025,researchable,not_researched,,
school_district,4620850,SD,Edgemont School District 23-1,unified_school_district,2025,researchable,not_researched,,
school_district,4621300,SD,Elk Mountain School District 16-2,unified_school_district,2025,researchable,not_researched,,
school_district,4621340,SD,Elk Point-Jefferson School District 61-7,unified_school_district,2025,researchable,not_researched,,
school_district,4621390,SD,Elkton School District 05-3,unified_school_district,2025,researchable,not_researched,,
school_district,4621400,SD,Frederick Area School District 06-2,unified_school_district,2025,researchable,not_researched,,
school_district,4621420,SD,Bridgewater-Emery School District 30-3,unified_school_district,2025,researchable,not_researched,,
school_district,4622410,SD,Estelline School District 28-2,unified_school_district,2025,researchable,not_researched,,
school_district,4622500,SD,Ethan School District 17-1,unified_school_district,2025,researchable,not_researched,,
school_district,4622560,SD,Eureka School District 44-1,unified_school_district,2025,researchable,not_researched,,
school_district,4622940,SD,Faith School District 46-2,unified_school_district,2025,researchable,not_researched,,
school_district,4624030,SD,Faulkton School District 24-4,unified_school_district,2025,researchable,not_researched,,
school_district,4624390,SD,Flandreau School District 50-3,unified_school_district,2025,researchable,not_researched,,
school_district,4624540,SD,Florence School District 14-1,unified_school_district,2025,researchable,not_researched,,
school_district,4624850,SD,Stanley County School District 57-1,unified_school_district,2025,researchable,not_researched,,
school_district,4625500,SD,Freeman School District 33-1,unified_school_district,2025,researchable,not_researched,,
school_district,4626370,SD,Garretson School District 49-4,unified_school_district,2025,researchable,not_researched,,
school_district,4626490,SD,Gayville-Volin School District 63-1,unified_school_district,2025,researchable,not_researched,,
school_district,4626970,SD,Gettysburg School District 53-1,unified_school_district,2025,researchable,not_researched,,
school_district,4629880,SD,Gregory School District 26-4,unified_school_district,2025,researchable,not_researched,,
