entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,5100022,VA,Dahlgren Department of Defense School District,unified_school_district,2025,researchable,not_researched,,
school_district,5100023,VA,Quantico Marine Corps Center School District,unified_school_district,2025,researchable,not_researched,,
school_district,5100036,VA,James City County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100060,VA,Accomack County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100090,VA,Albemarle County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100120,VA,Alexandria City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100152,VA,Alleghany Highlands Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100180,VA,Amelia County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100210,VA,Amherst County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100240,VA,Appomattox County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100270,VA,Arlington County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100300,VA,Augusta County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100330,VA,Bath County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100360,VA,Bedford County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100390,VA,Bland County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100420,VA,Botetourt County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100450,VA,Bristol City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100480,VA,Brunswick County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100510,VA,Buchanan County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100540,VA,Buckingham County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100560,VA,Buena Vista City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100600,VA,Campbell County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100660,VA,Caroline County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100690,VA,Carroll County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100720,VA,Charles City County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100750,VA,Charlotte County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100780,VA,Charlottesville City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100810,VA,Chesapeake City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100840,VA,Chesterfield County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100870,VA,Clarke County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100930,VA,Colonial Beach Town Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5100960,VA,Colonial Heights City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101020,VA,Craig County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101050,VA,Culpeper County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101080,VA,Cumberland County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101110,VA,Danville City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101140,VA,Dickenson County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101170,VA,Dinwiddie County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101190,VA,Emporia City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101200,VA,Essex County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101230,VA,Fairfax City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101260,VA,Fairfax County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101290,VA,Falls Church City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101320,VA,Fauquier County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101350,VA,Floyd County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101380,VA,Fluvanna County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101410,VA,Franklin City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101440,VA,Franklin County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101470,VA,Frederick County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101510,VA,Fredericksburg City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101560,VA,Galax City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101590,VA,Giles County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101620,VA,Gloucester County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101650,VA,Goochland County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101690,VA,Grayson County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101710,VA,Greene County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101740,VA,Greensville County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101770,VA,Halifax County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101800,VA,Hampton City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101830,VA,Hanover County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101860,VA,Harrisonburg City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101890,VA,Henrico County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101920,VA,Henry County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101950,VA,Highland County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5101980,VA,Hopewell City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102010,VA,Isle of Wight County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102070,VA,King and Queen County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102100,VA,King George County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102120,VA,King William County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102160,VA,Lancaster County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102190,VA,Lee County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102220,VA,Lexington City Public Schools,elementary_school_district,2025,researchable,not_researched,,
school_district,5102250,VA,Loudoun County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102280,VA,Louisa County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102310,VA,Lunenburg County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102340,VA,Lynchburg City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102360,VA,Manassas City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102370,VA,Madison County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102390,VA,Manassas Park City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102400,VA,Martinsville City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102430,VA,Mathews County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102460,VA,Mecklenburg County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102490,VA,Middlesex County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102520,VA,Montgomery County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102580,VA,Nelson County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102610,VA,New Kent County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102640,VA,Newport News City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102670,VA,Norfolk City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102710,VA,Northampton County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102730,VA,Northumberland County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102760,VA,Norton City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102790,VA,Nottoway County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102820,VA,Orange County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102850,VA,Page County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102880,VA,Patrick County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102910,VA,Petersburg City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102940,VA,Pittsylvania County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5102980,VA,Poquoson City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103000,VA,Portsmouth City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103030,VA,Powhatan County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103060,VA,Prince Edward County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103090,VA,Prince George County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103130,VA,Prince William County Public Schools,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,5103150,VA,Pulaski County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103180,VA,Radford City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103210,VA,Rappahannock County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103240,VA,Richmond City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103270,VA,Richmond County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103300,VA,Roanoke City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103330,VA,Roanoke County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103370,VA,Rockbridge County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103390,VA,Rockingham County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103420,VA,Russell County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103460,VA,Salem City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103480,VA,Scott County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103510,VA,Shenandoah County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103520,VA,Smyth County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103600,VA,Southampton County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103640,VA,Spotsylvania County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103660,VA,Stafford County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103690,VA,Staunton City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103710,VA,Suffolk City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103750,VA,Surry County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103780,VA,Sussex County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103810,VA,Tazewell County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103840,VA,Virginia Beach City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103870,VA,Warren County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103900,VA,Washington County Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103930,VA,Waynesboro City Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103950,VA,West Point Town Public Schools,unified_school_district,2025,researchable,not_researched,,
school_district,5103980,VA,Westmoreland County Public Schools,unified_school_district,2025,researchable,not_researched,,
