entity_namespace,geoid,state,entity_name,entity_kind,universe_vintage,entity_disposition,research_status,last_checked_on,notes
school_district,5400030,WV,Barbour County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400060,WV,Berkeley County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400090,WV,Boone County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400120,WV,Braxton County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400150,WV,Brooke County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400180,WV,Cabell County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400210,WV,Calhoun County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400240,WV,Clay County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400270,WV,Doddridge County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400300,WV,Fayette County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400330,WV,Gilmer County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400360,WV,Grant County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400390,WV,Greenbrier County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400420,WV,Hampshire County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400450,WV,Hancock County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400480,WV,Hardy County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400510,WV,Harrison County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400540,WV,Jackson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400570,WV,Jefferson County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400600,WV,Kanawha County School District,unified_school_district,2025,researchable,candidate_found,2026-07-15,1 reviewed source link(s)
school_district,5400630,WV,Lewis County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400660,WV,Lincoln County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400690,WV,Logan County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400720,WV,Marion County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400750,WV,Marshall County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400780,WV,Mason County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400810,WV,McDowell County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400840,WV,Mercer County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400870,WV,Mineral County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400900,WV,Mingo County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400930,WV,Monongalia School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400960,WV,Monroe County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5400990,WV,Morgan County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401020,WV,Nicholas County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401050,WV,Ohio County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401080,WV,Pendleton County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401110,WV,Pleasants County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401140,WV,Pocahontas County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401170,WV,Preston County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401200,WV,Putnam County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401230,WV,Raleigh County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401260,WV,Randolph County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401290,WV,Ritchie County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401320,WV,Roane County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401350,WV,Summers County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401380,WV,Taylor County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401410,WV,Tucker County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401440,WV,Tyler County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401470,WV,Upshur County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401500,WV,Wayne County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401530,WV,Webster County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401560,WV,Wetzel County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401590,WV,Wirt County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401620,WV,Wood County School District,unified_school_district,2025,researchable,not_researched,,
school_district,5401650,WV,Wyoming County School District,unified_school_district,2025,researchable,not_researched,,
