state,recipient,award_amount,start_date,end_date,fy_cohort
CA,BIRMINGHAM COMMUNITY CHARTER HIGH SCHOOL,500000,2025-10-01,2028-09-30,FY25
CA,GALT JOINT UNION ELEMENTARY SCHOOL DISTRICT,500000,2025-10-01,2028-09-30,FY25
CA,MODESTO CITY SCHOOLS,500000,2025-10-01,2028-09-30,FY25
CA,WOODVILLE UNION SCHOOL DISTRICT,500000,2024-10-01,2027-09-30,FY24
CA,TWIN RIVERS UNIFIED SCHOOL DISTRICT,500000,2024-10-01,2027-09-30,FY24
CA,ALPINE UNION SCHOOL DISTRICT,500000,2024-10-01,2027-09-30,FY24
CA,TUSTIN UNIFIED SCHOOL DISTRICT,500000,2023-10-01,2026-09-30,FY23
CA,GOLD OAK UNION SCHOOL DISTRICT,500000,2023-10-01,2026-09-30,FY23
CA,PLACER UNION HIGH SCHOOL DISTRICT,500000,2023-10-01,2026-09-30,FY23
CA,ESPARTO UNIFIED SCHOOL DISTRICT,497831,2024-10-01,2027-09-30,FY24
CA,MONTEBELLO UNIFIED SCHOOL DISTRICT,487657,2025-10-01,2028-09-30,FY25
CA,COLTON JOINT UNIFIED SCHOOL DISTRICT,480000,2023-10-01,2026-09-30,FY23
CA,SAN JOSE CHARTER ACADEMY,479578,2025-10-01,2028-09-30,FY25
CA,CORE BUTTE CHARTER SCHOOL,477424,2023-10-01,2026-09-30,FY23
CA,IMPERIAL UNIFIED SCHOOL DISTRICT,473824,2025-10-01,2028-09-30,FY25
CA,BRAWLEY ELEMENTARY SCHOOL DISTRICT,468768,2024-10-01,2027-09-30,FY24
CA,EL DORADO HIGH SCHOOL DISTRICT,468751,2023-10-01,2026-09-30,FY23
CA,MOUNTAIN VIEW SCHOOL DISTRICT,467627,2024-10-01,2027-09-30,FY24
CA,SAN YSIDRO SCHOOLS PUBLIC FINANCING CORPORATION,461179,2025-10-01,2028-09-30,FY25
CA,FAIRFAX ELEMENTARY SCHOOL DISTRICT,430797,2025-10-01,2028-09-30,FY25
CA,MEADOWS UNION SCHOOL DISTRICT,426375,2024-10-01,2027-09-30,FY24
CA,MAMMOTH UNIFIED SCHOOL DISTRICT,406308,2025-10-01,2028-09-30,FY25
CA,CORONADO UNIFIED SCHOOL DISTRICT,375050,2024-10-01,2027-09-30,FY24
CA,POMONA UNIFIED SCHOOL DISTRICT,375000,2025-10-01,2028-09-30,FY25
CA,OXFORD PREPARATORY ACADEMY - MIDDLE,374688,2023-10-01,2026-09-30,FY23
CA,VALLE LINDO SCHOOL DISTRICT,356791,2025-10-01,2028-09-30,FY25
CA,EDISON SCHOOL DISTRICT,356158,2025-10-01,2028-09-30,FY25
CA,BEAUMONT UNIFIED SCHOOL DISTRICT,348464,2024-10-01,2027-09-30,FY24
CA,GOLDEN EAGLE CHARTER SCHOOL,327195,2025-10-01,2028-09-30,FY25
CA,SAVANNA SCHOOL DISTRICT,289662,2025-10-01,2028-09-30,FY25
CA,MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT,237214,2024-10-01,2027-09-30,FY24
CA,GUADALUPE JOINT UNION SCHOOL DISTRICT,200000,2023-10-01,2026-09-30,FY23
CA,SAN JACINTO USD,121875,2024-10-01,2027-09-30,FY24
CA,SOBOBA BAND OF LUISENO INDIANS,116250,2021-10-01,2026-11-30,older
CA,GRAVES ELEMENTARY SCHOOL DISTRICT,92350,2024-10-01,2027-09-30,FY24
MI,BELLAIRE PUBLIC SCHOOL DISTRICT,500000,2025-10-01,2028-09-30,FY25
MI,MT. MORRIS CONSOLIDATED SCHOOLS,500000,2025-10-01,2028-09-30,FY25
MI,BENTON HARBOR AREA SCHOOLS,500000,2024-10-01,2027-09-30,FY24
MI,WHITEHALL DISTRICT SCHOOLS,500000,2024-10-01,2027-09-30,FY24
MI,CENTRAL LAKE PUBLIC SCHOOLS,500000,2024-10-01,2027-09-30,FY24
MI,GODFREY LEE PUBLIC SCHOOLS,500000,2023-10-01,2026-09-30,FY23
MI,MT. MORRIS CONSOLIDATED SCHOOLS,500000,2023-10-01,2026-09-30,FY23
MI,EAST JORDAN PUBLIC SCHOOLS,487750,2022-10-01,2026-09-30,FY22
