state,state_sources,county_sources,city_sources,district_sources,rfp_sources,grant_sources,contract_award_sources,county_research_status,district_research_status,grant_research_status
AK,2,1,1,1,4,1,4,candidate_found,candidate_found,candidate_found
AL,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
AR,2,1,0,1,3,1,2,candidate_found,candidate_found,candidate_found
AZ,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
CA,2,3,0,1,5,1,5,candidate_found,candidate_found,candidate_found
CO,2,1,1,1,4,1,4,candidate_found,candidate_found,candidate_found
CT,2,0,1,1,4,1,4,not_applicable,candidate_found,candidate_found
DC,3,0,0,1,1,2,3,not_applicable,candidate_found,candidate_found
DE,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
FL,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
GA,3,1,0,2,4,2,4,candidate_found,candidate_found,candidate_found
HI,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
IA,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
ID,2,1,0,1,4,1,4,candidate_found,candidate_found,candidate_found
IL,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
IN,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
KS,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
KY,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
LA,3,1,0,1,3,2,3,candidate_found,candidate_found,candidate_found
MA,2,1,1,1,4,1,4,candidate_found,candidate_found,candidate_found
MD,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
ME,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
MI,2,2,0,1,5,1,5,candidate_found,candidate_found,candidate_found
MN,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
MO,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
MS,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
MT,2,2,0,1,3,1,4,candidate_found,candidate_found,candidate_found
NC,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
ND,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
NE,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
NH,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
NJ,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
NM,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
NV,2,1,1,1,4,1,4,candidate_found,candidate_found,candidate_found
NY,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
OH,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
OK,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
OR,2,1,0,1,3,1,2,candidate_found,candidate_found,candidate_found
PA,2,2,0,1,4,1,4,candidate_found,candidate_found,candidate_found
RI,2,0,1,1,3,1,3,not_applicable,candidate_found,candidate_found
SC,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
SD,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
TN,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
TX,2,1,0,1,4,1,4,candidate_found,candidate_found,candidate_found
UT,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
VA,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
VT,2,0,1,1,3,1,3,researched_not_found,candidate_found,candidate_found
WA,2,2,0,1,5,1,5,candidate_found,candidate_found,candidate_found
WI,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
WV,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
WY,2,1,0,1,3,1,3,candidate_found,candidate_found,candidate_found
